id,object_file,wind_speed,rotate_angle,num_iterations,resolution,drag_coefficient,moment_coefficient,lift_coefficient,front_lift_coefficient,rear_lift_coefficient,input_mesh_path,openfoam_mesh_path,pressure_field_mesh_path,streamlines_mesh_path
06znxu1o4j6pex82jsykjwj0s,object_38.obj,10,0,300,5,0.885188,0.02104945,0.343742,0.3618547,-0.117225,data/train/12p1a2o3np1ghskns1ndhec20/input_mesh.obj,data/train/0ngz2ekqcgpyv0ze8pqk992eq/openfoam_mesh.obj,data/train/0zk7gy5qzttjz6hwust2tfvvw/pressure_field_mesh.vtk,data/train/0v035nt6qf80uegv8ph4n6jyf/streamlines_mesh.ply
0e34wbz2u8gxz8k9c6mhu3811,object_535.obj,35,0,300,5,3.934084,0.02402441,0.466381,0.03080199,-0.1017201,data/train/02i46rjmab25ng8zh9r4t358q/input_mesh.obj,data/train/0gpfqfd8t0nzry5go9bhsneud/openfoam_mesh.obj,data/train/0omf1mg0152cut0tnfgvzy54n/pressure_field_mesh.vtk,data/train/0m4um4jjnznwiuy8ng1ou4ema/streamlines_mesh.ply
02hvtjbz1uj2fb7y3ycfp5sth,object_543.obj,23,222,300,5,0.4983559,0.16445,0.5498838,1.387227,-0.2182571,data/train/0yoz261epwv20awq8g83cvncz/input_mesh.obj,data/train/07di7bqn3qjqg6tonv6gg9618/openfoam_mesh.obj,data/train/0mc77n6kvhd6sks3g3p8xj1x1/pressure_field_mesh.vtk,data/train/0d9zbvzvt4qx0t4ip6kern5g9/streamlines_mesh.ply
0n4uvk9kk88xzcekjarcvtnw4,object_560.obj,39,291,300,5,0.9349573,0.1846727,0.3922395,1.422545,-0.03836044,data/train/0moc8m0xbiqga5185mk667zqa/input_mesh.obj,data/train/0g46xb22nmq1gc3mi2zennt1c/openfoam_mesh.obj,data/train/0oyds51r43mvg4wvqpzih0i7r/pressure_field_mesh.vtk,data/train/0nty3j9irdk8o9epdi5iointy/streamlines_mesh.ply
0dzp2vb3ng9nj4mgnbbtxwcen,object_282.obj,22,65,300,5,0.7618862,0.1809992,0.2787591,0.5443484,0.02538955,data/train/104oyahxt7c48065xnzywa854/input_mesh.obj,data/train/00d78shnamup02ihjqjmbsger/openfoam_mesh.obj,data/train/04365r285pnw5242e3vdit74m/pressure_field_mesh.vtk,data/train/09xyae6q494dtqvmwj1f9wbgs/streamlines_mesh.ply
0kjj88mdrg9ppb0s90f97s5sg,object_551.obj,22,0,300,5,0.4571443,0.1897595,0.2661754,0.1754107,-0.1054468,data/train/0b5q0istamep5cakwqyikg0e1/input_mesh.obj,data/train/001sq58wv1ix3uj9od36ctsng/openfoam_mesh.obj,data/train/0bcpvd28vjz0hyas3bdq5tby0/pressure_field_mesh.vtk,data/train/036cpocbnjez2xuz3vj9hyo7c/streamlines_mesh.ply
0agdbme39o8ywu6fsuk87ngsh,object_160.obj,27,0,300,5,0.7148612,0.0619616,0.06408946,0.1475236,-0.1349711,data/train/0wupepp8dsvvhc1452okj6j1y/input_mesh.obj,data/train/002zrdgy063ngyckt61xktp0v/openfoam_mesh.obj,data/train/0e34wbz2u8gxz8k9c6mhu3811/pressure_field_mesh.vtk,data/train/04c8yx8o5s7iy7afxwdpsfrga/streamlines_mesh.ply
0wqxo44jad8v2syym1juby1ns,object_668.obj,16,168,300,5,0.9098976,0.4209048,0.05126287,0.6439057,0.004123986,data/train/08nmb1ixtkazn0s0r3nm9x2rt/input_mesh.obj,data/train/0tx93myk5xpc80rgkhpug60o1/openfoam_mesh.obj,data/train/01d5bgu8wni1rwby8nw4321vg/pressure_field_mesh.vtk,data/train/0dgyytu1z0a8pwhp05azttd30/streamlines_mesh.ply
13sprfb8fk9ewb3mbgg5xzq4r,object_230.obj,32,94,300,5,0.6338067,0.3176632,0.04657104,1.077609,-0.1597163,data/train/078z2w5pe9ngtorx6vrfz5c29/input_mesh.obj,data/train/0bcpvd28vjz0hyas3bdq5tby0/openfoam_mesh.obj,data/train/0q4p7c0jmkwdh9xrn52gjin4i/pressure_field_mesh.vtk,data/train/0zk7gy5qzttjz6hwust2tfvvw/streamlines_mesh.ply
04wbcqesitdy6mewdkgpz6gef,object_541.obj,39,96,300,5,0.6724835,0.1888055,-0.4251574,0.356592,-0.1141035,data/train/0gm8fq7hf3ne2z1yo9u6ghpch/input_mesh.obj,data/train/0yriwsffb33qc3kmd7etum8vx/openfoam_mesh.obj,data/train/045kwzywtj3n9p0qv3cd2r83y/pressure_field_mesh.vtk,data/train/08nmb1ixtkazn0s0r3nm9x2rt/streamlines_mesh.ply
0moc8m0xbiqga5185mk667zqa,object_677.obj,11,0,300,5,0.2978101,0.2794488,0.8155682,0.333067,-0.03407606,data/train/0hkda361g945v7ykfpchq9nv4/input_mesh.obj,data/train/07qbub8uwr23m8ch3mb6ruof2/openfoam_mesh.obj,data/train/0rxnczws6hjzs6ik9bdbc87n5/pressure_field_mesh.vtk,data/train/0n4uvk9kk88xzcekjarcvtnw4/streamlines_mesh.ply
0w9f5hs10ctkw085zhubphbak,object_389.obj,37,189,300,5,0.3378293,0.2295039,0.3823003,0.09942766,-0.08121548,data/train/0kgfkp5dm85vk51cccie6w0u9/input_mesh.obj,data/train/0kjj88mdrg9ppb0s90f97s5sg/openfoam_mesh.obj,data/train/0ftiejpijv3ka3wxebv7x6cn7/pressure_field_mesh.vtk,data/train/0iqot71rp24xnesbpem0zygxr/streamlines_mesh.ply
0ukp6tyd0q6xufr4p7hkgn9zm,object_350.obj,42,180,300,5,0.7918735,0.2733724,0.9708571,0.5279597,-0.1284028,data/train/07cdwao44jyzrqpszjjyfegzw/input_mesh.obj,data/train/0yww0mwiz6kjz5z5progbdeqb/openfoam_mesh.obj,data/train/0u61divnam9j1ow0vrj5c28ho/pressure_field_mesh.vtk,data/train/0rg59w9pde42a56c25ysued89/streamlines_mesh.ply
01w0mvc2vfayjmdokhkwp4iep,object_354.obj,24,258,300,5,0.3496662,0.3524942,0.004335075,0.2560391,-0.3211405,data/train/0f54awnag5p77xafk6rsuqsc3/input_mesh.obj,data/train/0ho6n3pbiig4gb03wofhk9eum/openfoam_mesh.obj,data/train/0cdbznr1q8tv24s7i30r9md2p/pressure_field_mesh.vtk,data/train/0ghzs69qsp5hi8q6a8fehfqaa/streamlines_mesh.ply
02i46rjmab25ng8zh9r4t358q,object_40.obj,12,177,300,5,0.6643094,0.09576658,0.06734597,0.167472,-0.2727523,data/train/0rg59w9pde42a56c25ysued89/input_mesh.obj,data/train/01rd2fy87irjqu9hfxuyrkdg3/openfoam_mesh.obj,data/train/10tyu3xmy0sacvg0u3qb89mvy/pressure_field_mesh.vtk,data/train/070gw8gfg5181vvppf9i0gdh9/streamlines_mesh.ply
0a3k5utm8khi6ouxnir59cuo5,object_473.obj,23,0,300,5,0.3202893,0.01450483,-0.04285786,0.07364707,-0.3008192,data/train/0bs6dzwuwnv3ui3q99c07kzj7/input_mesh.obj,data/train/0byxyydapa17jv161ayeqp06u/openfoam_mesh.obj,data/train/0n3b690bqs1krvfsq2htkg8v1/pressure_field_mesh.vtk,data/train/07rev2432hc1kw6z0mtdb20r4/streamlines_mesh.ply
03exi7d8dsdrg05guyv4dve2b,object_503.obj,15,354,300,5,0.2277339,0.01834011,-0.06038119,0.4780758,-0.1456152,data/train/0oyds51r43mvg4wvqpzih0i7r/input_mesh.obj,data/train/0opsh0ivr4v6xasun93hyi222/openfoam_mesh.obj,data/train/0ch8fk6ni7hr1mvv7rx1k08ac/pressure_field_mesh.vtk,data/train/0a12rc8z3nsqia0htb5zpbz3j/streamlines_mesh.ply
0s80gxeri1fczf9bbrt24aw0e,object_615.obj,39,0,300,5,0.2813756,0.05371131,0.2483805,0.3292291,0.1491757,data/train/0ypxac5bh2ke0au1gor79o4ew/input_mesh.obj,data/train/0ob1a4xmgbqn5gc65fabpkep7/openfoam_mesh.obj,data/train/0kyf2gc7kdyrg7n5agnc2mofw/pressure_field_mesh.vtk,data/train/0c74iu3riz1iaettdup0e2jc0/streamlines_mesh.ply
05x4eg7a717izm12z7oz5c6c4,object_467.obj,20,180,300,5,0.5249164,0.2162079,0.1633312,0.1819954,-0.181391,data/train/0uv7r1dzdvyrp1g9q59v56c3q/input_mesh.obj,data/train/0mc1gd4rnumn66xsknz5p8m73/openfoam_mesh.obj,data/train/074jiq3mztofxdrgb7eguqp09/pressure_field_mesh.vtk,data/train/0tdsxpiapioswjtoy0o1ixjf0/streamlines_mesh.ply
0c72tg07ff63zxaggx3tpx4k3,object_129.obj,35,153,300,5,0.7430227,0.1595567,1.000392,0.9732405,-0.09223356,data/train/0ese3fws8xj3xxuj9n8fzd2mm/input_mesh.obj,data/train/13ffgkz5n9dts9mr7n1e3y9oz/openfoam_mesh.obj,data/train/0ra5ggknw4g8oucjh1fm8xeaj/pressure_field_mesh.vtk,data/train/0vbq9ychagz3jo0jcb028bsfe/streamlines_mesh.ply
0y4iubn8hpqeegrc0hdjhh9qd,object_45.obj,43,97,300,5,0.2113486,0.0953444,0.6092271,0.3873876,-0.3643317,data/train/06znxu1o4j6pex82jsykjwj0s/input_mesh.obj,data/train/0gwnnw14ytmbz2x3ck3xt8hkf/openfoam_mesh.obj,data/train/04gk39zqzb7ib4qj73zxrxniz/pressure_field_mesh.vtk,data/train/0jhwzenspf0z023vnydimp20w/streamlines_mesh.ply
09gwks5sbtc9tuwt3w616wrhu,object_697.obj,47,0,300,5,0.4064914,0.09165171,0.1698431,0.231375,-0.1200149,data/train/0ob1a4xmgbqn5gc65fabpkep7/input_mesh.obj,data/train/09xyae6q494dtqvmwj1f9wbgs/openfoam_mesh.obj,data/train/0uiz0k0g394k3m58xh82sxur5/pressure_field_mesh.vtk,data/train/0okcukabp7eg2bix8pdht2b1g/streamlines_mesh.ply
0nvji0j78g5u31uwxk7cqi2dx,object_273.obj,29,144,300,5,0.5274181,0.2967663,0.307476,0.1915678,-0.1456776,data/train/0fcbytoib1k7g2f3a1j8u1chf/input_mesh.obj,data/train/0qbqfv74efs2zcjgjdqqiebxo/openfoam_mesh.obj,data/train/0tdsxpiapioswjtoy0o1ixjf0/pressure_field_mesh.vtk,data/train/0vjo7uyit44fcq3oiobik9vmu/streamlines_mesh.ply
0jmpc8iynyvnp30fhusb6kvah,object_362.obj,10,197,300,5,0.9239098,-0.06168488,0.04151076,-0.2682224,0.0409488,data/train/12n1nh2odhzgfh3roogzw54iq/input_mesh.obj,data/train/12mow5y273fset4163zzq7tjg/openfoam_mesh.obj,data/train/001sq58wv1ix3uj9od36ctsng/pressure_field_mesh.vtk,data/train/0d284he1zpf6kvone58evri1v/streamlines_mesh.ply
04q5q4xwhfc8vjob21guauxev,object_339.obj,14,281,300,5,0.2700241,0.198411,0.3794381,0.1556831,0.02794915,data/train/0nj7drzqw4mcq1uhn9rime9xp/input_mesh.obj,data/train/0k25aht1fpbs80jrda8qphize/openfoam_mesh.obj,data/train/10bf4wegr6tpfru0fvo3wqyc1/pressure_field_mesh.vtk,data/train/033v7wresvvqe65sszks699wj/streamlines_mesh.ply
0f4jmfxpt0v3s3810omqomdmq,object_294.obj,43,46,300,5,0.9246614,0.5616535,0.7725195,-0.2100284,-0.2107754,data/train/0uyiwqduz3guj5h7ptw8gtyey/input_mesh.obj,data/train/0wux2uiu94voa2n3tqm0jgx8x/openfoam_mesh.obj,data/train/0hfzqkaj291ehjjj0b2vmohv0/pressure_field_mesh.vtk,data/train/02hvtjbz1uj2fb7y3ycfp5sth/streamlines_mesh.ply
0h6utkzn2vvrxtkpe4ikydfo3,object_470.obj,11,256,300,5,0.5163201,0.623475,0.1371977,0.2194959,-0.0841884,data/train/0gp13ecyap3hz5bf9k8vo19n5/input_mesh.obj,data/train/0akkpqgoz96mmgv0iqa8vvr5d/openfoam_mesh.obj,data/train/0gm8fq7hf3ne2z1yo9u6ghpch/pressure_field_mesh.vtk,data/train/0bnvkexn30nwbr22e0o9ya514/streamlines_mesh.ply
09uzciemvbauhv2hv5aj7gy00,object_64.obj,30,222,300,5,0.5533574,0.2009598,0.04826579,0.2362934,-0.2090512,data/train/0bnvkexn30nwbr22e0o9ya514/input_mesh.obj,data/train/0s80gxeri1fczf9bbrt24aw0e/openfoam_mesh.obj,data/train/121h16z0katia52jg0nr56497/pressure_field_mesh.vtk,data/train/08wr7qsjj7n19rq7b2tsmw3af/streamlines_mesh.ply
07qgtvpmvez8x0matr3ycoheg,object_297.obj,15,259,300,5,0.5733154,0.1805681,-0.354059,-0.1086716,-0.2037496,data/train/0nvji0j78g5u31uwxk7cqi2dx/input_mesh.obj,data/train/0t2wep52onxdmkritspfq4rq4/openfoam_mesh.obj,data/train/05ke1ci20yfc3v58g644fp2nq/pressure_field_mesh.vtk,data/train/0jge9azx6km2a0f53vu6hckzv/streamlines_mesh.ply
008ytd85wfqw5iri7j4w3cf7f,object_173.obj,12,173,300,5,0.2807989,0.2554509,-0.1111989,0.06694838,-0.1095741,data/train/0vbq9ychagz3jo0jcb028bsfe/input_mesh.obj,data/train/12mk6ehni6btps0qrwjsop2q4/openfoam_mesh.obj,data/train/0aeg0ig7nu1i8wvhh6psbu10p/pressure_field_mesh.vtk,data/train/104oyahxt7c48065xnzywa854/streamlines_mesh.ply
0gjfgkrviypg5pu8ajtsmja0n,object_508.obj,16,0,300,5,0.4697808,0.1199,0.02338593,0.929469,-0.04828817,data/train/13cz7b81cwnkdgbcsc41eu086/input_mesh.obj,data/train/0n7tbaygfud41swvq6t23sj2r/openfoam_mesh.obj,data/train/0tjqb3om3nnv2qxp45vxpb4oe/pressure_field_mesh.vtk,data/train/01rpr9bmagsva90swicsz6fhm/streamlines_mesh.ply
0gbrbno8fdmxusuaqysvbr8w5,object_628.obj,42,0,300,5,0.4437656,0.7255485,0.2125386,0.1860619,0.0407572,data/train/0hm8oo8sme7gpjxrai6bxnexv/input_mesh.obj,data/train/0vgfdtqbccw0txxgscmqvhuu4/openfoam_mesh.obj,data/train/0brb2h4g1raquo7br0jyr992s/pressure_field_mesh.vtk,data/train/0b7u239cvhnop94fv1wcp4thi/streamlines_mesh.ply
04q2mz4qze7o0qod9oerf6jku,object_57.obj,40,192,300,5,0.7241157,0.003197047,0.5522891,0.5466937,-0.06893434,data/train/0w9f5hs10ctkw085zhubphbak/input_mesh.obj,data/train/0idb2g9wgkdv531q8hdywvzz1/openfoam_mesh.obj,data/train/0kgfkp5dm85vk51cccie6w0u9/pressure_field_mesh.vtk,data/train/0qhbn2ngob1krgai4w04tbcmf/streamlines_mesh.ply
0epkc18o8u6y14obzfa3apeam,object_445.obj,12,180,300,5,0.8103201,0.1051105,0.08464824,0.03274242,-0.1491922,data/train/0f255zg1nkgwa5xkxivdfb0y0/input_mesh.obj,data/train/0q4p7c0jmkwdh9xrn52gjin4i/openfoam_mesh.obj,data/train/0ypxac5bh2ke0au1gor79o4ew/pressure_field_mesh.vtk,data/train/0uv7r1dzdvyrp1g9q59v56c3q/streamlines_mesh.ply
0gf3hyexktnst23g9zs2j0ad9,object_92.obj,41,180,300,5,1.286252,0.09782094,-0.1608844,0.07767245,-0.1313311,data/train/0kpw3v22wv68bsnigscibc61d/input_mesh.obj,data/train/008ytd85wfqw5iri7j4w3cf7f/openfoam_mesh.obj,data/train/0ad9c0i52satnjdr5ezkbrdjw/pressure_field_mesh.vtk,data/train/074jiq3mztofxdrgb7eguqp09/streamlines_mesh.ply
0r2pptuoc50vfpw2x04723upf,object_265.obj,13,0,300,5,0.3494126,0.286458,0.8190119,0.1671873,-0.3365106,data/train/0kcuympevcsgchhv6cbomky8n/input_mesh.obj,data/train/01mqr0ttvbbvy8pn3ir9ycooz/openfoam_mesh.obj,data/train/070gw8gfg5181vvppf9i0gdh9/pressure_field_mesh.vtk,data/train/12rsnmov1ybomp26nh9nknt58/streamlines_mesh.ply
0hc9bh3spj5ko98b16s0o30pq,object_616.obj,16,180,300,5,0.4068204,0.3491587,0.1332422,-0.182858,-0.01995773,data/train/0yrhubvqogosqueth7ioyhyno/input_mesh.obj,data/train/0ftiejpijv3ka3wxebv7x6cn7/openfoam_mesh.obj,data/train/0d85ywtwtw1wfy3326260bse0/pressure_field_mesh.vtk,data/train/0s8isznoa51c4xrdyoqs49w48/streamlines_mesh.ply
0uiz0k0g394k3m58xh82sxur5,object_71.obj,13,180,300,5,0.7956583,0.07572606,-0.07373283,1.424329,-0.251221,data/train/121b4rbb13g53xygxew5cvctf/input_mesh.obj,data/train/02u6979src99j9hkdwwa17vgj/openfoam_mesh.obj,data/train/00d78shnamup02ihjqjmbsger/pressure_field_mesh.vtk,data/train/0dzp2vb3ng9nj4mgnbbtxwcen/streamlines_mesh.ply
0e4ebgbfb98mvrm88af1fyafg,object_55.obj,35,296,300,5,1.066999,0.1523776,0.436137,0.4700697,-0.007913526,data/train/13echd7ve2wfw8ti36qqskfzt/input_mesh.obj,data/train/09pf55k9zwsg7jihqndhinxc2/openfoam_mesh.obj,data/train/0opsh0ivr4v6xasun93hyi222/pressure_field_mesh.vtk,data/train/033j86bzshvw737frxhx75sh0/streamlines_mesh.ply
0t6yjn9448tcxgc963u51z5db,object_69.obj,47,129,300,5,0.7183478,0.3274508,0.3842215,0.6805483,-0.08633562,data/train/0j0j5s0uwjo3sgmwpmvrbc8m0/input_mesh.obj,data/train/0is204f084ca67xm1mqnmsv1i/openfoam_mesh.obj,data/train/03w8opiecsjq228mbsmfbt45w/pressure_field_mesh.vtk,data/train/04wbcqesitdy6mewdkgpz6gef/streamlines_mesh.ply
0xpizn6ey9b2zye3u3kaprrdp,object_402.obj,46,286,300,5,0.913628,0.4667184,-0.2941497,0.3517594,-0.03982771,data/train/0ngz2ekqcgpyv0ze8pqk992eq/input_mesh.obj,data/train/0aeg0ig7nu1i8wvhh6psbu10p/openfoam_mesh.obj,data/train/0zj3ynyf6hyk9eyh1djj0vex5/pressure_field_mesh.vtk,data/train/0ad9c0i52satnjdr5ezkbrdjw/streamlines_mesh.ply
049z1q227rzn4egavv87zjv1d,object_396.obj,33,199,300,5,0.3720587,0.1530283,-0.1945979,-0.01529605,0.01644215,data/train/0ndr5w92k6w56pb4g6r8yxrq1/input_mesh.obj,data/train/0wc57yqr3sy053wjn5dxqkczj/openfoam_mesh.obj,data/train/0m88mi4o7cfxa3wftpw4cuogn/pressure_field_mesh.vtk,data/train/12n1nh2odhzgfh3roogzw54iq/streamlines_mesh.ply
0oztw88ytcnwyamkrgfpcehwd,object_40.obj,35,0,300,5,0.919986,-0.03490977,0.4801112,0.1535779,0.06650118,data/train/07qbub8uwr23m8ch3mb6ruof2/input_mesh.obj,data/train/13cz7b81cwnkdgbcsc41eu086/openfoam_mesh.obj,data/train/0heqbfgtajs2f4zouc2ekpiyw/pressure_field_mesh.vtk,data/train/060awz4ephr12dwt9s3pkptf0/streamlines_mesh.ply
0z4k5waezc0q82j4fwh4sck9x,object_199.obj,28,273,300,5,0.4614394,0.2809715,0.3584269,0.3176501,-0.1544503,data/train/0v4f4u1e1f1a47hms876x0ggs/input_mesh.obj,data/train/10hn6zok20sdcung907o9vnu2/openfoam_mesh.obj,data/train/0hm8oo8sme7gpjxrai6bxnexv/pressure_field_mesh.vtk,data/train/0ofhnfrbh745t5kpw90emwxsg/streamlines_mesh.ply
0rxnczws6hjzs6ik9bdbc87n5,object_107.obj,25,54,300,5,0.4803093,0.7865201,-0.1492842,1.07881,-0.01713051,data/train/0jsmu69xfdakqjbv47ducurg2/input_mesh.obj,data/train/03a8x30tp5sq4ni6om1wntk27/openfoam_mesh.obj,data/train/0imtq5snozp1t3bq3zwbpjwez/pressure_field_mesh.vtk,data/train/0rwdik5mmehvin70jtkeaxnc1/streamlines_mesh.ply
10wvzpx0966zcs9hu1fcm8vcu,object_638.obj,40,180,300,5,0.8639898,1.305619,0.3851367,0.2602025,-0.2277579,data/train/0sq2s1jw6rs0cz8uefiqmer9n/input_mesh.obj,data/train/0sh0rbppgrk2btef4zkwmeywu/openfoam_mesh.obj,data/train/0h9cs17p32nmxj8c38mdxb29w/pressure_field_mesh.vtk,data/train/142jthaoy48y1fz5xit7vhu61/streamlines_mesh.ply
006p0rpnfm058sq1jpnyhyf8v,object_302.obj,48,199,300,5,0.2950448,0.4267463,-0.1126931,-0.1023332,-0.009356492,data/train/0bnqa3t3sgiokgjbh47ige71q/input_mesh.obj,data/train/00ifk9cjq6jx84qgw67p4aprx/openfoam_mesh.obj,data/train/0tzjo4k9kuciha4ev54iy8hxu/pressure_field_mesh.vtk,data/train/0bnnm68bfi7icdg7theixvm74/streamlines_mesh.ply
0531v1mrc3kf0mj4cyvayi8jh,object_108.obj,18,123,300,5,0.4569781,0.06941217,0.7623092,0.1624903,-0.7307694,data/train/0xh46dt7rbz7qyqq8ha7gq9dr/input_mesh.obj,data/train/0qt3kae1rvpbvsck8u5xvz9ce/openfoam_mesh.obj,data/train/05uqhxxecqe4g0wxsckftteg5/pressure_field_mesh.vtk,data/train/0s80gxeri1fczf9bbrt24aw0e/streamlines_mesh.ply
0ufv8eg7nmcpxsbr1mwj867jv,object_585.obj,38,50,300,5,0.7749501,-0.04574581,-0.360659,0.2477912,-0.3595272,data/train/0952iocbfmt1bnywxanz1opgd/input_mesh.obj,data/train/06znxu1o4j6pex82jsykjwj0s/openfoam_mesh.obj,data/train/0p2r0zn1e5fm11a6a1pfyrcpi/pressure_field_mesh.vtk,data/train/0hke7vebi3gmv0b7wofcooofz/streamlines_mesh.ply
09v79ef1j6o9nvhnxr4bchop6,object_122.obj,32,246,300,5,0.8099417,0.1053047,0.3123393,-0.04840736,-0.2132308,data/train/060awz4ephr12dwt9s3pkptf0/input_mesh.obj,data/train/0vy137q9erksoqdanavii5ggp/openfoam_mesh.obj,data/train/0am6tscbq1049qhsq0sw0jrw6/pressure_field_mesh.vtk,data/train/0rwcqpt5s0thdmhujz8y72ets/streamlines_mesh.ply
146bmf0idx2d8vdrsj8dbzznx,object_612.obj,41,0,300,5,0.4609862,0.1248632,0.209207,-0.01277941,-0.153425,data/train/0jmpc8iynyvnp30fhusb6kvah/input_mesh.obj,data/train/075fyrkumqsx7tofmr3o0uwbr/openfoam_mesh.obj,data/train/0oc35aosxs44h30jae41ghntw/pressure_field_mesh.vtk,data/train/0kicvmyvhmir0nmjrqbgxykyg/streamlines_mesh.ply
0ibcdigrarje5icb8dqsckird,object_135.obj,23,101,300,5,0.7702334,0.1118348,0.01582949,0.6059466,-0.1800779,data/train/09nycyt89mrf0mshxmty5su1a/input_mesh.obj,data/train/06m4f5ev3jkdt02amb2f4kt51/openfoam_mesh.obj,data/train/13sprfb8fk9ewb3mbgg5xzq4r/pressure_field_mesh.vtk,data/train/0in6iwwk0u66nrq4bgtg1ypsf/streamlines_mesh.ply
0qjxsfcrzayp4n4nr8rjotpgf,object_495.obj,18,0,300,5,0.3271193,0.5299533,0.2829295,0.7272598,-0.1677443,data/train/0hhbsx811nfjxhekyjnfqm6is/input_mesh.obj,data/train/0ufv8eg7nmcpxsbr1mwj867jv/openfoam_mesh.obj,data/train/0c9isxgt27n2mii0cgerpqo7t/pressure_field_mesh.vtk,data/train/0d0qpf1h23tq5cj2tj6ujuhdr/streamlines_mesh.ply
