model,base_model,revision,precision,params,architectures,weight_type,status,submitted_time,model_type,job_id,job_start_time,use_chat_template,sender
Daemontatox/RA2.0,,beae08105412b6f650ffacfdf7e6ca6dab157f14,bfloat16,14.77,Qwen2ForCausalLM,Original,FAILED,2024-10-21 20:22:37,fine-tuned,14752981,2024-08-12T20:42:55.196415,True,DavidAU
Amaorynho/BBAI270V4,,59502a062d6d3bdc6376756bab28c9b7bd5b1a98,bfloat16,7.616,Qwen2ForCausalLM,Original,FINISHED,2025-03-02 22:02:46,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",7798038,2024-10-25T11:09:11.593505,False,Daemontatox
CYFRAGOVPL/PLLuM-12B-chat,,02b5050d7e600ce3db81a19638f6043c895d60cf,bfloat16,-1.0,Qwen2ForCausalLM,Original,FINISHED,2024-07-13 21:14:21,🔶 : 🔶 fine-tuned on domain-specific datasets,8096720,2025-02-13T06:22:29.762428,False,CultriX
Aakash21/Noobie,Qwen/Qwen2-7B,2c95189201f94c64fcf4c9a7edc4777741f18999,bfloat16,32.764,Qwen2ForCausalLM,Original,FINISHED,2025-02-27 10:29:11,🔶 : 🔶 fine-tuned on domain-specific datasets,14586835,2024-12-07T05:20:38.361120,False,AELLM
Daemontatox/RA_Reasoner2.0,,b5f0a72d981b5b2c6bd6294093c6956d88477a3e,bfloat16,32.76,Qwen2ForCausalLM,Original,FAILED,2025-03-09 00:58:38,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",10345646,2025-01-13T12:27:03.226535,True,AtAndDev
CausalLM/14B,,fc24bca48549ef8e39cbee5a438e5a16e25e4afa,float16,68.977,LlamaForCausalLM,Original,FAILED,2024-07-07 15:13:17,🔶 : 🔶 fine-tuned on domain-specific datasets,7817223,2025-01-13T12:15:38.875882,False,Daemontatox
DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.1,,5f5faeade9308eea4f11e7fb87a4e7ec581e56c2,bfloat16,27.227,LlamaForCausalLM,Original,FINISHED,2024-10-11 03:38:18,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",13995571,2025-02-27T21:57:16.547690,True,Leechael
Deci/DeciLM-6b-instruct,,01f7fabb6cfb26efeb764da4a0a19cad2c754232,float16,70.554,MistralForCausalLM,Original,FINISHED,2024-09-12 14:41:05,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",14689401,2024-10-18T18:23:51.891400,False,DeepMount00
CultriX/Qwen2.5-14B-MegaMerge-pt2,,65a9e957dc4211aa3d87fdf588767823af5cde3f,float16,1.236,Qwen2ForCausalLM,Original,FINISHED,2025-02-18 04:50:29,fine-tuned,13489671,2025-03-10T02:52:45.477841,True,SuperNintendoChalmers
Daemontatox/Cogito-Ultima,,2c03a29761e4174f20347a60fbe229be4383d48b,bfloat16,8.03,LlamaForCausalLM,Original,FINISHED,2024-12-23 23:26:58,chat,11475324,2025-03-06T07:21:02.678531,True,Delta-Vector
Corianas/Neural-Mistral-7B,,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,float16,0.124,LlamaForCausalLM,Original,FINISHED,2024-06-12 12:07:11,fine-tuned,7812958,2024-09-27T17:05:52.499574,False,AIJUUD
BEE-spoke-data/smol_llama-220M-openhermes,,6d4593645d1c4dc61d1c223922f635d79283d22b,float16,70.554,LlamaForCausalLM,Original,FAILED,2024-10-13 13:43:02,fine-tuned,9555444,2025-01-20T20:59:59.889364,True,Azure99
Ahmedhany216/Fake-news-gen,,7dd541d58a3f8ec8da9f7fb59588e72bdadddbbe,bfloat16,7.231,Phi3ForCausalLM,Original,FINISHED,2025-03-06 14:25:33,🔶 : 🔶 fine-tuned on domain-specific datasets,14586830,2024-09-05T02:35:14.041837,False,PocketDoc
01-ai/Yi-1.5-9B-32K,,dc926f98d650feb02c83949f21a4db419c135470,bfloat16,12.248,MistralForCausalLM,Original,FAILED,2025-03-10 15:15:03,merge,14694222,2024-09-20T12:18:11.066487,True,Ateron
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.0,,e2cec0d68a67092951e9205dfe634a59f2f4a2dd,bfloat16,5.199,LlamaForCausalLM,Original,FAILED,2024-07-08 16:47:21,🔶 : 🔶 fine-tuned on domain-specific datasets,13351421,2025-02-24T03:19:49.466709,True,DavidAU
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,,2d8cf3ab0af78b9e43546486b096f86adf3ba4d0,float16,7.242,MllamaForConditionalGeneration,Original,FINISHED,2024-10-24 01:06:12,🔶 : 🔶 fine-tuned on domain-specific datasets,8095660,2024-09-25T15:33:50.908465,False,
DavidAU/DeepSeek-Grand-Horror-SMB-R1-Distill-Llama-3.1-16B,,d24d927d110786097dba5512d12f9311c49c4ddc,8bit,20.245,Qwen2ForCausalLM,Original,FAILED,2024-11-19 04:11:26,🟢 : 🟢 pretrained,6693788,2024-12-25T20:34:14.918259,True,BenevolenceMessiah
Ateron/Lotus-Magpic,,7be7c0ff1e35c3bb781c47222da99a1724f5f1da,bfloat16,14.766,MistralForCausalLM,Original,FINISHED,2024-11-20 03:11:05,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",9640226,2024-10-09T16:21:14.212077,False,1024m
AXCXEPT/EZO-Qwen2.5-32B-Instruct,,cf690c35d9cf0b0b6bf034fa16dbf88c56fe861c,float16,8.03,CohereForCausalLM,Original,FAILED,2025-01-11 10:12:02,chat,8095290,2024-06-17T14:32:41.855511,False,bedio
Daemontatox/Cogito-Ultima,,459891ec78c9bbed2836a8bba706e1707db10231,bfloat16,14.766,LlamaForCausalLM,Original,FINISHED,2024-11-21 03:32:13,🔶 : 🔶 fine-tuned on domain-specific datasets,8138528,2025-01-13T09:25:26.281589,False,PocketDoc
Daemontatox/PathFinderAI-S1,,31d6fd858f20539a55401c7ad913086f54d9ca2c,float16,8.03,Qwen2ForCausalLM,Original,FINISHED,2024-11-20 12:18:31,fine-tuned,13489983,2024-10-24T09:16:19.410215,True,Alepach
Alibaba-NLP/gte-Qwen2-7B-instruct,,1106fd7a24859eb22f43eca9d18d7040a2c73f86,bfloat16,6.893,LlamaForCausalLM,Original,FINISHED,2025-03-08 13:28:52,🔶 : 🔶 fine-tuned on domain-specific datasets,14752919,2024-06-23T04:43:31.913457,True,CreitinGameplays
DeepAutoAI/d2nwg_causal_gpt2_v1,,a8a435e8cdd3b8a83f17ad63b51ec86504cf7e47,float16,0.887,Qwen2ForCausalLM,Original,FINISHED,2025-01-19 04:14:05,chat,14586837,2024-07-29T19:16:21.500416,False,PocketDoc
Daemontatox/AetherSett,,5f8c7b1c49d946c3feb028f138add7efabde94e7,bfloat16,8.03,Qwen2ForCausalLM,Original,FINISHED,2025-03-10 02:17:10,multimodal,8701151,2024-12-26T16:36:01.955542,True,jeiku
Ba2han/Llama-Phi-3_DoRA,,7318b14104e3eb06c8e571ec8a51c7f027834d74,bfloat16,9.543,Qwen2ForCausalLM,Original,FINISHED,2024-09-14 23:05:04,continuously pretrained,14179368,2024-09-10T09:10:40.072649,False,pszemraj
Daemontatox/Zireal-R1,,881729709fbf263b75e0f7341b66b5a880b82d11,bfloat16,4.65,Cohere2ForCausalLM,Original,FAILED,2024-12-30 13:58:06,chat,11011639,2024-08-12T13:37:39.110827,True,flygon250
BlackBeenie/Neos-Phi-3-14B-v0.1,,1e6d2d17ebda8d70c1d332b85518467ebae27c87,float16,1.544,Qwen2ForCausalLM,Original,FAILED,2025-02-28 13:07:17,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",14414273,2024-12-31T19:55:04.553277,True,Delta-Vector
Daemontatox/AetherDrake-SFT,,448ef54e5af03e13f16f3db8ad8d1481479ac12e,bfloat16,3.821,Qwen2ForCausalLM,Original,FINISHED,2024-07-04 14:49:14,chat,14016381,2024-09-13T16:05:27.493421,True,
AuraIndustries/Aura-8B,,b7dd53b35d0c7c9e162cd336f5c9d8a13dbf6992,bfloat16,32.764,LlamaForCausalLM,Original,FINISHED,2025-02-28 13:05:27,merge,14395554,2024-08-12T09:33:10.337713,False,Aashraf995
BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,,36f99064a7be8ba475c2ee5c5424e95c263ccb87,4bit,14.77,MistralForCausalLM,Original,FINISHED,2024-09-05 22:19:22,🔶 : 🔶 fine-tuned on domain-specific datasets,7811100,2025-03-09T03:54:03.784138,True,alozowski
AmeerH/FPT-Base,,1789345da11489c55c12c8fc21c68c5789956ad1,float16,14.766,?,Original,FINISHED,2024-10-10 19:40:46,🔶 : 🔶 fine-tuned on domain-specific datasets,14395509,2025-03-02T22:01:11.625304,True,AnimateBow4809
Daemontatox/PathFinderAI4.0,,c1d59d3bc93d7ae4816800e37333f375e1debabf,bfloat16,8.028,Qwen2ForCausalLM,Original,FAILED,2024-08-05 21:45:49,🔶 : 🔶 fine-tuned on domain-specific datasets,-1,2025-02-28T22:50:54.816963,True,CultriX
1TuanPham/T-VisStar-7B-v0.1,yam-peleg/Experiment26-7B,c3916b69283eb7424aa4df62deeeafbd81883521,bfloat16,2.879,PhariaForCausalLM,Original,FAILED,2024-12-02 20:07:24,chat,14359224,2025-03-10T03:10:18.878384,False,freeCS-dot-org
Amaorynho/BBAI09V1,,51204ee25a629abfd6d5e77a850b5e7a36c78462,bfloat16,14.352,LlamaForCausalLM,Original,FAILED,2025-02-19 09:20:55,🔶 : 🔶 fine-tuned on domain-specific datasets,14752979,2025-03-10T03:14:49.600829,True,Danielbrdz
AI-MO/NuminaMath-7B-CoT,,2e528b6a80fb064a0a746c5ca43114b135e30464,bfloat16,3.213,DeciLMForCausalLM,Original,FINISHED,2025-01-19 11:30:57,🔶 : 🔶 fine-tuned on domain-specific datasets,14595028,2024-10-25T11:02:59.830211,False,hyxmmm
Daemontatox/Cogito-Maximus,,f9fe98f490411181a2310bad039206514a724318,bfloat16,8.03,LlamaForCausalLM,Original,FAILED,2025-01-11 06:26:01,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",9868674,2024-11-20T12:19:10.981726,True,CombinHorizon
Cran-May/SCE-3-24B,,1062ad627bd1823458a3b1b22f434941dea75f35,bfloat16,6.061,GemmaForCausalLM,Original,FINISHED,2024-06-26 14:34:45,fine-tuned,14752978,2025-03-09T04:11:25.448793,True,Delta-Vector
Daemontatox/AetherTOT,,0e7dac17e39f161865e1dd76602295201415608f,float16,1.1,LlamaForCausalLM,Original,FINISHED,2024-09-25 15:33:35,fine-tuned,14725974,2024-08-12T11:39:41.097102,False,Alepach
3rd-Degree-Burn/L3.2-Math-Soup-3B,,6a477b347fa6c0ce76bcaf353ddc282dd1cc75c3,bfloat16,70.554,LlamaForCausalLM,Original,FINISHED,2025-01-09 23:13:19,🤝 : 🤝 base merges and moerges,10197830,2025-02-24T03:45:43.113211,True,OwenArli
DeepAutoAI/d2nwg_Llama-3.1-8B-Instruct-v0.0,,bf7686fb36203e0e09f3f92cd8c5e0ab385d5335,bfloat16,34.389,Qwen2ForCausalLM,Original,FINISHED,2025-03-06 08:40:32,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",13624506,2025-02-28T13:43:05.301665,True,DavidAU
ContactDoctor/Bio-Medical-MultiModal-Llama-3-2-11B-V7,,77ca2edd6650455182d0c7e6a7be4249cfc34f8c,bfloat16,8.03,LlamaForCausalLM,Original,FINISHED,2024-07-11 07:39:17,🤝 : 🤝 base merges and moerges,13624487,2025-02-28T13:31:04.232143,False,Abhaykoul
BlackBeenie/Meta-Llama-3.3-70B,,688f1a4c3c69fe9c6440cad7919ab602ae61fa39,bfloat16,14.766,Qwen2ForCausalLM,Original,FINISHED,2025-02-04 00:39:04,fine-tuned,7714842,2024-12-19T04:48:14.361428,False,jakeboggs
Daemontatox/Zirel_32B,,90df996cdb1f3d5f051513c50df4cdfda858b5f2,float16,14.766,MistralForCausalLM,Original,FAILED,2024-10-24 16:41:58,🤝 : 🤝 base merges and moerges,8653568,2024-08-12T14:29:37.405278,True,Abhaykoul
AIDC-AI/Marco-o1,,9fc53668064bdda22975ca72c5a287f8241c95b3,bfloat16,3.0,Qwen2ForCausalLM,Original,FINISHED,2025-03-10 00:16:45,pretrained,10758818,2024-12-23T23:28:19.696457,False,CombinHorizon
3rd-Degree-Burn/Llama-Squared-8B,,f24956949dbd0d0713da0e14562e74fc20b7367d,bfloat16,8.03,LlamaForCausalLM,Original,FINISHED,2025-03-08 13:32:14,chat,10744603,2025-03-10T02:57:13.988318,True,BlackBeenie
DeepMount00/Llama-3.1-8b-Ita,,9bdbfd8f330754c4103822ce180e0e3e3ce0973e,bfloat16,7.0,LlamaForCausalLM,Original,FINISHED,2025-02-05 00:05:45,fine-tuned,14691792,2025-03-10T14:39:32.391276,False,Daemontatox
AI-Sweden-Models/Llama-3-8B-instruct,,0afb7cc74a94f11f2695dc92788cdc6e28325f9c,float16,18.519,Qwen2ForCausalLM,Original,FINISHED,2025-03-02 22:01:09,🔶 : 🔶 fine-tuned on domain-specific datasets,14691862,2024-11-19T20:46:53.982401,False,CultriX
CultriX/Qwen2.5-14B-HyperionSeek,,8b8f3326a5547a424ea5d2104ffc04ad64006503,bfloat16,15.664,Qwen2ForCausalLM,Original,FINISHED,2025-03-10 02:24:38,🔶 : 🔶 fine-tuned on domain-specific datasets,10885446,2025-02-27T13:50:26.421653,False,CultriX
CreitinGameplays/Llama-3.1-8B-R1-v0.1,,48504799d009b4e1b29e6d2948a7cde68acdc3b0,bfloat16,23.572,LlamaForCausalLM,Original,FINISHED,2024-10-10 14:01:10,merge,14364348,2025-02-24T03:37:00.913239,True,CoexistAI
Casual-Autopsy/L3-Super-Nova-RP-8B,,2fe6c3d94e567367edd79ac6d27ff572d91a8b8b,bfloat16,16.537,LlamaForCausalLM,Original,FINISHED,2024-12-19 18:01:12,🔶 : 🔶 fine-tuned on domain-specific datasets,8888822,2025-01-24T10:23:03.421535,True,gr0010
Dans-DiscountModels/12b-mn-dans-reasoning-test-3,,a48b7c04b854e5c60fe3464f96904bfc53c8640c,bfloat16,7.044,MllamaForConditionalGeneration,Original,FINISHED,2025-02-07 16:01:21,merge,10958022,2025-01-21T06:19:05.190599,False,hyxmmm
Dans-DiscountModels/12b-mn-dans-reasoning-test-2,,d4af4d73ba5fea0275fd1e3ba5102a79ac8009db,bfloat16,0.218,Qwen2ForCausalLM,Original,FINISHED,2024-10-04 05:42:07,fine-tuned,13995573,2024-12-18T04:20:56.243537,True,Daemontatox
CohereForAI/c4ai-command-r7b-12-2024,,8ac1a1ebe011df28b78ccd08012aeb2222443c77,float16,32.764,LlamaForCausalLM,Original,FINISHED,2024-09-04 10:34:21,merge,9983923,2024-07-28T12:11:28.034859,False,
DavieLion/Llama-3.2-1B-SPIN-iter3,,7271fc7d08fca9b12c49b40af6245a982273a5c3,bfloat16,23.572,GemmaForCausalLM,Original,FINISHED,2024-10-13 17:14:29,fine-tuned,13522320,2025-01-13T12:53:22.390375,True,
AbacusResearch/haLLAwa3,,3abe75d01094b713368e3d911ffb78a2d66ead22,float16,34.714,LlamaForCausalLM,Original,FAILED,2024-09-05 20:32:34,fine-tuned,9966677,2024-11-03T23:14:08.228744,True,Daemontatox
Delta-Vector/Odin-9B,,dc926f98d650feb02c83949f21a4db419c135470,float16,32.764,MixtralForCausalLM,Original,FINISHED,2025-03-09 04:16:45,🔶 : 🔶 fine-tuned on domain-specific datasets,9000472,2024-10-04T14:43:41.700670,True,CultriX
1-800-LLMs/Qwen-2.5-14B-Hindi,,b4ec9078ac753553851a2bf80e517bcea6a0e5fc,bfloat16,8.829,LlamaForCausalLM,Original,FAILED,2024-12-30 13:43:35,fine-tuned,8094579,2024-10-09T09:48:26.201241,False,Daemontatox
Amaorynho/BBAI2006,,f8770799a0f1f32861a19ae190933ed475fe5488,bfloat16,2.795,LlamaForCausalLM,Original,FINISHED,2024-07-27 13:42:07,fine-tuned,14595029,2024-12-11T14:37:00.531719,False,Amaorynho
BEE-spoke-data/Meta-Llama-3-8Bee,DUAL-GPO/zephyr-7b-dpo-new-lora-v1-merged,97a87606addb28c1d76d27cca5e5485c1dbff4e3,float16,10.67,Qwen2ForCausalLM,Original,FINISHED,2024-09-09 12:40:15,merge,14749778,,True,SuperNintendoChalmers
Changgil/K2S3-v0.1,,280c912c90dbeedb330cd3283cbf665fb7ff7578,float16,32.764,LlamaForCausalLM,Original,FINISHED,2025-03-10 02:16:43,fine-tuned,8767952,2024-11-06T18:52:35.561195,False,ClaudioItaly
