model,base_model,revision,precision,params,architectures,weight_type,status,submitted_time,model_type,job_id,job_start_time,use_chat_template,sender
Aashraf995/Creative-7B-nerd,,8ce2c063c57040e87304e28f372fdb305926b6de,bfloat16,25.506,MixtralForCausalLM,Original,FINISHED,2025-01-26 08:08:45,fine-tuned,10160584,2024-06-17T09:04:46.768248,False,Daemontatox
Daemontatox/mini-Cogito-R1,,421d58121bdb191662238e224ee55c158f62b0aa,bfloat16,76.723,MistralForCausalLM,Original,FINISHED,2024-07-21 07:29:43,🔶 : 🔶 fine-tuned on domain-specific datasets,7811319,2024-09-13T16:42:10.558681,True,Abhaykoul
CYFRAGOVPL/Llama-PLLuM-8B-base,,d7f840c57c89fd655690a8371ce8f5c82f57ad80,bfloat16,32.764,LlamaForCausalLM,Original,FINISHED,2024-07-27 13:39:45,🔶 : 🔶 fine-tuned on domain-specific datasets,7811846,2024-11-20T12:19:10.981726,True,OwenArli
BramVanroy/fietje-2-chat,,8845b1d3c0bc73522ef2700aab467183cbdca9f7,bfloat16,6.738,LlamaForCausalLM,Original,FAILED,2025-02-05 09:35:45,fine-tuned,14745300,2025-03-02T21:01:09.049454,False,CoolSpring
01-ai/Yi-1.5-9B,,73f24e1679609e9cd6db709e35146dac936f24ae,bfloat16,14.77,GemmaForCausalLM,Original,FINISHED,2025-02-05 00:05:45,fine-tuned,13351071,2024-07-25T09:43:28.863498,False,hyxmmm
3rd-Degree-Burn/L-3.1-Science-Writer-8B,,c7a742e539ec264b9eaeefe2aed29e92e8a7ebd6,bfloat16,7.616,CohereForCausalLM,Original,FINISHED,2024-10-06 16:35:24,fine-tuned,8504320,2025-01-06T15:43:34.106895,True,DavidAU
Daemontatox/RA2.0,,a6399c43f84736ed1b11d8cc7a25edf634781207,float16,8.03,LlamaForCausalLM,Original,FINISHED,2024-11-24 22:50:17,🤝 : 🤝 base merges and moerges,14364354,2025-01-30T10:53:34.806747,False,CultriX
3rd-Degree-Burn/Llama-Squared-8B,,86fed893893cc2a6240f0ea09ce2eeda1a5178cc,bfloat16,34.389,MistralForCausalLM,Original,FINISHED,2024-09-08 17:14:28,chat,8094579,2024-08-12T16:16:06.056231,False,CombinHorizon
Daemontatox/Llama3.3-70B-CogniLink,,503c24156d7682458686a7b5324f7f886e63470d,bfloat16,1.544,LlamaForCausalLM,Original,FINISHED,2025-01-05 00:53:35,fine-tuned,8937858,2024-08-12T22:23:24.104636,True,pszemraj
CultriX/SeQwence-14Bv2,,2b397e5f0fab87984efa66856c5c4ed4bbe68b50,float16,8.03,LlamaForCausalLM,Original,FINISHED,2024-12-13 12:37:08,fine-tuned,13624508,2025-03-04T10:35:35.639708,True,
Daemontatox/AetherTOT,meta-llama/Llama-3.2-1B,7318b14104e3eb06c8e571ec8a51c7f027834d74,bfloat16,8.03,Qwen2ForCausalLM,Original,FINISHED,2024-12-13 12:37:37,fine-tuned,8612619,2025-01-19T10:51:24.329346,False,ggbetz
DavidAU/DeepThought-MOE-8X3B-R1-Llama-3.2-Reasoning-18B,,f24956949dbd0d0713da0e14562e74fc20b7367d,float16,8.03,Gemma2ForCausalLM,Original,FINISHED,2024-09-26 14:18:03,🔶 : 🔶 fine-tuned on domain-specific datasets,14378507,2025-03-10T02:40:09.488830,False,
Arthur-LAGACHERIE/Precis-1B-Instruct,,f31e757fa26fc7be7cfeb2b134fdfa3f839d007d,bfloat16,14.766,LlamaForCausalLM,Original,FINISHED,2024-09-05 20:32:34,fine-tuned,10334034,2024-12-19T18:04:08.843483,False,Amaorynho
DUAL-GPO/zephyr-7b-ipo-0k-15k-i1,,5bab856eaa8836d4f37d736926bdd18b97ac3241,float16,7.242,Qwen2ForCausalLM,Original,FINISHED,2024-12-31 19:48:02,🔶 : 🔶 fine-tuned on domain-specific datasets,14691551,2024-09-02T14:28:30.022322,True,Aryanne
Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,,4a74338e778a599f313e9fa8f5bc08c717604420,bfloat16,8.03,Qwen2ForCausalLM,Original,FINISHED,2024-10-19 11:08:56,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",11341232,2024-10-09T09:48:26.201241,True,3rd-Degree-Burn
CultriX/Qwen2.5-14B-Wernicke-SLERP,,2f17c5f8d1d718f00ada7bc7b744f51cd33651fc,bfloat16,1.236,LlamaForCausalLM,Original,FINISHED,2025-02-21 09:21:50,multimodal,10729684,2024-09-02T14:30:09.782626,True,
CultriX/Qwen2.5-14B-HyperMarck,,f4df1b9c2bf37bbfd6b2e8f2ff244c6029a5d546,bfloat16,3.213,MixtralForCausalLM,Original,FAILED,2024-12-29 04:01:26,🔶 : 🔶 fine-tuned on domain-specific datasets,14752986,2025-03-10T02:18:21.289051,True,BramVanroy
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,,f02384bc12a9b892c3e0fdcd300a1d275d599a89,bfloat16,7.0,Gemma2ForCausalLM,Original,FINISHED,2024-11-30 23:57:29,chat,14359224,2025-02-07T18:31:27.431331,True,CultriX
