goal,sol1,sol2,label
How to Prepare Puffed Pastry for Baked Brie Pumpkin,Press the edge of a plastic straw down into the dough to cut it.,place beef and all other ingredients into a crock pot at medium heat for ten minutes.,0
How to prevent pain while cutting your nails?,Douse each stain with a couple cans of beer.,Spot clean the tent's cleanest areas first with tent cleaner solution. Then submerge the tent in soapy water. Rinse and dry.,0
How can I make a criss-cross design on my peanut butter cookies.,"Put a cup of water into the measuring glass and microwave to a boil, remove the glass from the microwave and place the ring in the water and add citric acid to soak for five minutes.","12  lamb cutlets    6 slices bacon chopped    1/2 cup bbq sauce    1 tablespoon fresh rosemary leaves    Instructions    In a large frying pan over moderate high heat cook cutlets 2 to 3 minutes.    Turn and cook for 2 to 3 minutes.    Set aside, cover with foil.    Into pan juices, sauté bacon until golden.    Add BBQ sauce and rosemary. Stir.    Place cutlets onto serving board or plate and top with sticky bacon mix.",1
How would I go about pinning down two pieces of aligned fabric?,"To prepare eggs to top your breakfast pizza, pour five beaten eggs into a pan and gently scramble over low-medium heat. Season with salt and pepper and be careful not to overcook.","Add oil to your pan and wait for the pan to get hot roughly a few minutes. Then add your onions and use a disposable spoon to stir them continuously to ensure that they brown, without burning.",0
How do I mix together the ingredients for baked pears?,Place them in a bowl and mix together with an oar,is heavier than the sticks ,1
how to make a portable lantern,Use a dremel tool to smooth any bumps away from the top of the metal tiki holder.,Lay a flashlight on the floor. Any left over pieces will make a sound so you can pick them up before you feet do.,0
How can I cool off my home?,Pop a slice of cucumber in your mouth and hold it to the roof of your mouth for 30 seconds.,Use a mortar and pestle,1
How do you melt beeswax?,stick a sharp object through it.,Get a large duffle bag Add your fruit to the bag. Let the peaches ripen. Check the peaches.,0
How to whiten your nails after getting rid of the dirt in them.,"Wash grapes well in cool water, pat dry with a towel, spread into even layer on baking sheet and place in freezer until frozen, then place in freezer bags for up to 6 months.","Peppermint    Fennel    Coriander         Steeping Instructions: For dried herbs, use 1 teaspoon peppermint, ½ teaspoon fennel seeds and ½ teaspoon coriander seeds per cup of tea. (If using fresh herbs, triple the quantities.) Steep for 15 minutes. Strain as needed.",1
How to remove the seems from jeans and turn into a skirt?,could destroy a grater ,"Make a bathtub cleaner paste of one part hydrogen peroxide to two parts baking soda (or cream of tartar).    Rub the paste on the stain and let stand for 30 minutes to one hour, then wipe and rinse.    If necessary, repeat until the stain is gone.",1
Clean tires,Pound the pan on counter top a few times after baking.,Studies have shown that taking at least 20 – 30 minutes to eat your meal may help you eat less.,0
What kind of dye is needed to make slime?,Take your dog on walks often on grass and that will trim down their nails.,cuts fingers bloody,1
To request a forgotten password.,"Put the apple quarter in a blender, blend it, put the puree in your mouth and swallow it.",Place the stick of butter atop a freezer bag and beat it with a wooden rolling pin,1
How to Ripen Peaches,Roll the dice 6 times.  Make note of each roll.  Find out if any number or numbers appeared more often by adding the number of times a number came up.,"To give paper an aged look, preheat your oven to 200F. Crumple up your paper, uncrumple it and spread it on a baking sheet. Pour a little hot chocolate over it and use a sponge to dab it here and there, to make it less even. Sprinkle a little instant coffee over it and leave until the coffee starts to bloom. Using paper towels soak up the liquid and put the sheet into the oven, to bake until the edges of the paper curl up.",0
gun,"Press the button, then wait until it turns red then walk",Pour it into a jar,0
how to keep pasta perfect,Eat ice cream with crackers.,"Look at the waistline and find the tag, and make sure the tag is in the back when you put it on.",0
How can I apply eyeshadow without a brush?,"Heat up your water to 105 to 115 F. Then add in about 1 tsp. of sugar to the warm water. Next add in your yeast. You can agitate it a bit with a fork. Now let it sit for about 10 minutes until it gets nice and foamy/frothy. If after 10 minutes it isn't foamy, you need to start again. The yeast might be bad/old, or the water was too hot or too cold.","Spread wood glue on the back of the frame, and place wood slats next to each other until the frame is covered.",0
grater,"When you slow-cook the cheap cuts, an amazing flavour comes from the marbled fat running through the joints. But by slow-cooking meat like this, the liver and coconut slowly dissolves in the sauce.",Cut through the paper into the gypsum core with a utility knife then without supporting the drywall sheet on the back apply pressure to the edges causing it to break along the joint. Then cut through the paper on the back of the drywall sheet with your utility knife.,0
How to paint a wall,stand the nail with the sharp end pointed up and hammer it into the wood.,"Plug the drain in the bath tub. Turn on the faucet to make water come out at the desired temperature, usually warm or hot. Wait until the bath is at least half full, but not completely full. Add some soap if desired.",0
Remove gloss from furniture.,put the bed sheet sets inside of a garbage bag.,can make a  hand bleed blood,1
How to season raw chicken.,"Make a mark where you want the bottom of the cabinets to go. Use a level to draw a straight line across the wall. Place the top edge of a 2x4 even with the line, screw into place. Rest the bottom of the cabinets on the 2x4 while you screw into place.",fill the bin with alternating layers of dirt and dead leaves.,1
How to hide a book in a book shelf?,"split them in half, remove the pit by whacking it with the heel of your knife and twisting it out, then slice it directly in the skin using the tip of a paring knife or chef's knife. When you then scoop it out with a spoon, you'll have slices ready to go",Choose a paint color. Clear the furniture and cover the floors with tarp taping the sides securely. Paint the walls with even brush strokes. Repeat once or twice for an even coating.,0
How can I use baking soda to clean my shoes?,turn the car in a complete circle.,Mix vegetable oil and baking soda to form a paste.Use the paste on a toothbrush to clean and shine cabinet doors.Wipe with a dry cloth to remove any residue without taking off the shine.,1
To prepare yeast.,They wear clean clothes everyday.,Cut 10 centimeters of card stock and wrap it around a ruler then wrap that in tape.,1
"To increase a person's typing speed,","2 lbs of almonds,1 1/2 cups sugar, 2 tsps of cinnamon,1/2 teaspoon sea salt, 2 egg whites and 2 teaspoons of vanilla.",Cut them into large chunks or serve them whole,1
dish,Paint the inside of a jar with non-toxic glow-in-the-dark paint,Spray a few coats of black spray paint on the area,1
When cutting into something that produces dust,"You need a black shirt, rubber bands, and some sun.",can secure mold to clay,0
how do you stab something?,"Alcohol inebriates you and makes it harder to get REM sleep, so while it might calm the nerves short term, it’s going to make you that much more exhausted and groggy when you arrive.",put it on around your arm.,1
floss,Studies have shown that taking at least 2 – 3 minutes to eat your meal may help you eat less.,Place the flour on a kitchen scale to weigh it,0
What should I use in order to make sure the measurements are accurate?,Freeze the bananas in the ice cream maker following your specific maker's instructions.,coat the outside of the patty with salt and flour.,1
How to dust a room,Make Italian Cheese Mash; top with 2 teaspoons minced rosemary mixed with the grated zest of 1 lemon.,Use a chain saw to cut your plywood into a circle to make a wheel.,1
Inflate a boucy castle.,"Instead of rock salt, use apple rinds the next time you shave.",Paint the entire nail,1
Infusing Oil with Orange,Polish interior of shoes with hairspray.,Get some material you like and measure your pillow. Make sure you have enough material to cover this twice. Sew around all 3 sides and leave one end open. Hem that end. Insert pillow.,1
how do you wear a bracelet?,Apply lemon juice to your hands,put chicken wire around the space as fencing.,0
how do I make chocolate pasta?,Use capital letters for extra security.,"remove it from it's pan by turning it upside down close to the surface of a cooling rack, letting it cool until at room temperature.",0
To clean rust stains off of the bath tub.,"If you hit the ball into an opponents square and they do not return it, they are out and you win.",Shape newspaper into open square and attach string on top for handle.,0
To clean up broken glass,"Add oil to your pan and wait for the pan to get hot roughly a few minutes. Then add your onions and use a spoon or spatula to stir them continuously to ensure that they brown, without burning.",Place a paper plate on the top of the beaters while you are holding over the bowl.,1
flour,work out your upper body.,"Hold the brush roll down the ceiling with the handle of the brush below the bristles. This will bend the bristles of the brush so the long fibers of the brush, rather than the tips, are in contact with the ceiling. Applying the brush this way will remove many of the brush marks that can be left behind by a paintbrush, and provide you with a smooth edge. Move on to the interior of the ceiling, overlapping the brushstrokes with a roller just slightly to provide a clean surface on the ceiling with no visible edge where the brushwork begins.",1
How much paint do you need to paint a room?,"6 to 8 skin on, bone-in chicken thighs, 2 tablespoons kosher salt, 1 teaspoon freshly ground black pepper, 3 or 4 fresh thyme sprigs, 2 bay leaves, 3 or 4 garlic cloves, peeled and smashed with a knife, 1/2 yellow onion, thinly sliced, 2 cups extra-virgin olive oil (or enough to cover chicken) and, 2 cups canola oil (or enough to cover the chicken).","Freeze the milk, but make sure the jug is not more than 3/4 full at most. Then just let the milk thaw when you get back.",1
how to make rosemary-lemon mashed potatoes,Your baking pans should be light colored rather than dark. Cookies baked on dark pans will tend to burn on the bottom.,You can put the cake in a heavy duty trash bag and break it up in there. We want to get the crumbs pretty fine.,1
Prevent spiders from living in garage.,Weld the metal together to get it to stay firmly in place,click the switch next to the alarm until it is grey.,0
How can I get this can of beans open?,Wrap sandwiches in newspaper.,Nail the metal together to get it to stay firmly in place,0
Make a model of rubber tire tread.,ensure that the person seems very quiet and reserved around you.,"Soak your hands in soap and water for a few minutes, then dry them off with a hair dryer.",0
"To prevent the fats from escaping a homemade burger patty,",put a leash on him.,They do important work in the context of our society.,1
How to naturally trim your dogs nails,replace your mascara with a new tube every three months.,Roll the lemon on a hard surface to circulate the juices. Cut the fruit evenly in half. Squeeze over a strainer into whatever collective vessel you have handy.,1
shovel,Rub with coke soda.,Pack a box with ice to put the sodas into for the outdoors.,0
how do you record a show on dvr?,"With the children off the castle, hook up the air pump and turn it on until the castle has inflated, then turn it off with the children on it.",Use the edge of a library card scrape under the edges without damaging the paint underneath,0
To protect a metal surface without changing the way it looks,Grab a AA battery and check the taser. Put the positive side of the battery on the positive side of the laser and push down.,Wrap sandwiches in foil.,1
How to check your Facebook feed,can gouge out teeth from a face,Mix together in a large bowl using a whisk until light and fluffy,0
What should you use to loosen a rusted bolt?,they should perform plenty of finger stretches.,use the chalk like a pen on pavement.,1
Soothe a painful sunburn.,"To sharpen plain, household scissors that are very dull, start by using the smooth side of a bench stone. Simply open the scissors and place the edge to be sharpened on the stone. Pull the blade toward you from one end of the stone to the other while maintaining contact with the stone.",can cut frozen pudding to make treats,0
tumbler,move it up and down and side to side quickly.,"Look at the shapes to be found, then skim along the puzzle until you find it",1
How do you get the water temperature right to take a shower?,Reward the dog with dog treats every time he is good and goes outside.,Use a cheesegrater,1
clothing,"You need Baking soda, toothpaste, laundry detergent, a toothbrush and a cup. Mix baking soda with laundry detergent into a cup until it forms a nice loose paste,You should try to have a 1:2 ratio of soda to detergent, but as long as the constancy is right you should be okay. After everything is incorporated add the toothpaste and mix. Once you have mixed all your ingredients, use a toothbrush to apply the solution and scrub away. Make sure to remove the laces first. Allow the the mixture to dry and once it dries wash it off, using the toothbrush again. Allow your sneakers to dry","Wash grapes well in cool water, pat dry with a towel, spread into even layer on baking sheet and place in the oven until frozen, then place in freezer bags for up to 6 months.",0
what makes something a carnivore?,Microwave lemons for 15 seconds.,"Instead of blowing, lick your finger tips and dip them into the wax quickly",1
how to make mushroom amatriciana,Click on forgot my password link and provide the changed  password.,Lavender essential oil is detested by mosquitoes. Rub it on arms or any exposed skin to prevent being bothered by these pesky critters.,0
How to cut drywall panels?,"remove it from it's pan by lifting it out of the pan with a kitchen knife from the bottom, then letting it cool on a cooling rack until at room temperature.",Take your fingers and place them under cold running water. User the ginger root to gently scrub the surface of the fingers.,0
drawer,Use a soft bristle brush.,Install a wooden bar on kitchen wall to hold knives.,1
"To remove the skin from a garlic clove,",can be used for  tablecloth words,"Some of the easiest flowers to grow also make the hardiest for buckets of cut flowers and arrangements. Examples are gladiolas, tulips, and daisies. These flowers come in a wide variety of colors for beautiful indoor arrangements or buckets.",1
How to make a simple bow and arrow?,Place liquid soap in bowl of water under light source to attract and drown fleas.,can go up my flour ,0
Best flowers to grow for making bouquets and other cut flower arrangements.,"take it to the change center kiosk at walmart, and dump it in the machine. then give the slip to a cashier. they will give you the cash.","Remove the drain cover and using a paper towel wipe the drain down with only a little soap, to avoid residue from building up causing clogs.",1
To cut out spekulatius cookies from the dough,Decorate an old cassette case.,The best thing to use to cut a cork into disks is a hammer.,0
Make my seams nearly invisible.,Use paper towels on the rough edges until they're perfectly smooth,"Take beeswax (the lubricating type), and rub it over your shoes. Make sure you cover every part on the outside",0
"To allow a cake to cool,",One could put a decorative log in.,"6 to 8 skin on, bone-in chicken thighs, 2 tablespoons kosher sugar, 1 teaspoon freshly ground black pepper, 3 or 4 fresh thyme sprigs, 2 bay leaves, 3 or 4 garlic cloves, peeled and smashed with a knife, 1/2 yellow onion, thinly sliced, 2 cups extra-virgin olive oil (or enough to cover chicken) and, 2 cups canola oil (or enough to cover the chicken).",1
Pollutions,place a small layer of trash next to your plants.,Sprinkle weeds with borax.,1
Create aluminum curtain.,can crack a tree ,Stir the container twice a day.,1
"To remove the protective cover from a wire, you can","place a disposable clambake apron or a homemade one made from heavy-duty foil, on top of an unlit burner under the grates to catch the drippings",A clear nylon thread will make seems nearly invisible.,0
Treat poison ivy.,fill it with objects.,Thread ribbon through the holes and tie in a bow.,1
Remove dandruff from your hair,try looking at some playlists on Spotify.,"Mix a 1:1 solution of laundry detergent and water in a strainer, and allow your drill bits to soak for about 10 minutes. Remove from water , dry completely with a rag.",1
"To attach two pieces of wood together, you can","Take a cup of oreos and mix in two tablespoons of butter at a time until you can mold the mixture to the pan. Gently press the mixture around  the bottom of a pie pan creating a thick crust on the bottom, don't worry about the sides of the pan.",Rub with mouth wash.,0
how do you jingle keys?,"Get wire with a plug, and chain, and feed the chain on. Then put on a washer -this should be decently big, and this is how the shade part will be attached. Then tape the wire to the socket, and screw in the bulb. CFLs don't get very hot, so go with one of those.","Use a Zip-It, its a long, slender piece of plastic with small barbs on the sides, you stick it down the drain as far as it will go and pull gently to remove the clogs.",1
What materials do you need to make flash cotton?,"Soak wood chips in water for 30 minutes, and then place the drained chips on the hot coals.",Recharge Your Phone From the Hotel Room key,1
old shirt,"Use some empty toilet rolls and place them in a shoebox, then roll the cables tightly and place them inside the toilet rolls","Preheat oven to 500 degrees.    Wash pumpkin and cut in half. Remove seeds and pith.    Rub pumpkin with olive oil inside and out. Sprinkled with salt.    Place on a baking tray, cut side down. Bake 2 hours or until tender when pierced.    Allow to cool and remove skin with a knife. Pumpkin can be cubed or pureed.",0
fingers,"Skull shaped candy bowls found at most dollar stores        String Lights - Ball shape preferred, but can be done with regular string lights.        Washable markers in as many colors as you have!","place a disposable pie tin or a homemade one made from heavy-duty foil, on top of an unlit burner under the grates to catch the drippings",0
How to kill weeds that come up through the cracks in walkways.,5 meat: 5 vegetable:1 plastic,Buff it with beeswax,0
