repository,sdk,license,likes
akhaliq/demucs,gradio,,145
pszemraj/summarize-long-text,gradio,mit,727
AttendAndExcite/Attend-and-Excite,gradio,,141
Matthijs/speecht5-vc-demo,gradio,,102
timbrooks/instruct-pix2pix,gradio,,96
carolineec/informativedrawings,gradio,mit,108
hysts/BLIP2-with-transformers,docker,,119
akhaliq/Real-ESRGAN,gradio,bsd-3-clause,109
weizmannscience/tokenflow,gradio,mit,77
mindee/doctr,gradio,apache-2.0,96
facebook/incoder-demo,gradio,mit,139
ysharma/nougat,docker,mit,1113
sanchit-gandhi/whisper-jax,streamlit,cc-by-nc-4.0,104
aipicasso/emi-latest-demo,gradio,mit,317
ECCV2022/dis-background-removal,gradio,apache-2.0,432
fffiloni/langchain-chat-with-pdf,gradio,,141
ai-guru/composer,docker,,692
competitions/ship-detection,static,,582
Lykon/DreamShaper-webui,gradio,,1116
Adapter/T2I-Adapter,docker,apache-2.0,719
badayvedat/LLaVA,docker,,169
radames/PIFu-Clothed-Human-Digitization,docker,mit,169
Plachta/VALL-E-X,streamlit,creativeml-openrail-m,806
ilumine-AI/Insta-3D,gradio,,126
huggingface-projects/stable-diffusion-multiplayer,gradio,mit,173
vumichien/Generate_human_motion,gradio,gpl-3.0,355
SemanticTypography/Word-As-Image,docker,other,100
jeffistyping/Youtube-Whisperer,static,mit,223
qingxu98/gpt-academic,gradio,,129
upstage/open-ko-llm-leaderboard,gradio,,75
h2oai/h2ogpt-chatbot2,gradio,apache-2.0,121
flamehaze1115/Wonder3D-demo,streamlit,other,69
mikonvergence/theaTRON,gradio,,111
CVPR/ml-talking-face,gradio,,333
Deci/DeciDiffusion-v1-0,gradio,,137
Hazzzardous/RWKV-Instruct,static,,125
patrickvonplaten/instruct-pix2pix,gradio,mit,85
jbilcke-hf/AI-WebTV,docker,apache-2.0,73
sambanovasystems/BLOOMChat,gradio,,143
chansung/llama2-with-gradio-chat,gradio,apache-2.0,189
naver-clova-ix/donut-base-finetuned-cord-v2,gradio,,160
kdrkdrkdr/ProsekaTTS,gradio,gpl-3.0,356
facebook/Hokkien_Translation,gradio,,171
ChallengeHub/Chinese-LangChain,gradio,,95
dalle-mini/dalle-mini,gradio,mit,85
lmsys/chatbot-arena-leaderboard,gradio,,995
huggingface-projects/video-composer-gpt4,static,apache-2.0,196
abhishek/StableSAM,gradio,,98
haoheliu/audioldm2-text2audio-text2music,gradio,,331
Deci/DeciLM-6b-instruct,gradio,,262
RASMUS/Whisper-youtube-crosslingual-subtitles,gradio,apache-2.0,190
shariqfarooq/ZoeDepth,gradio,gpl-3.0,178
ThomasSimonini/Check-my-progress-Deep-RL-Course,gradio,apache-2.0,131
zomehwh/vits-models,gradio,,151
ArkanDash/rvc-models,gradio,apache-2.0,495
gradio/theme-gallery,gradio,,93
Anonymous-sub/Rerender,gradio,mit,322
bookbot/Image-Upscaling-Playground,gradio,apache-2.0,82
shi-labs/Prompt-Free-Diffusion,streamlit,apache-2.0,115
ml6team/controlnet-interior-design,gradio,,116
darkstorm2150/Stable-Diffusion-Protogen-x3.4-webui,gradio,mit,91
huggingface-projects/llama-2-7b-chat,gradio,,68
DGSpitzer/TXT-2-IMG-2-MUSIC-2-VIDEO-w-RIFFUSION,gradio,,438
Shuang59/Composable-Diffusion,docker,mit,154
ArtGAN/Diffusion-API,gradio,apache-2.0,201
innnky/nene-emotion,gradio,,892
Logspace/Langflow,gradio,other,353
mteb/leaderboard,docker,,128
anzorq/chatgpt-demo,gradio,,71
katielink/biogpt-large-demo,gradio,,86
radames/MusicGen-Continuation,gradio,,136
safetensors/convert,gradio,mit,655
Xenova/the-tokenizer-playground,gradio,mit,93
bigcode/bigcode-models-leaderboard,gradio,,154
THUDM/CodeGeeX,gradio,,111
radames/Real-Time-Latent-Consistency-Model,gradio,cc-by-nc-4.0,1131
h2oai/h2ogpt-chatbot,gradio,,209
autoevaluate/model-evaluator,streamlit,,113
deepset/retrieval-augmentation-svb,streamlit,,91
sweetcocoa/pop2piano,gradio,other,93
yuntian-deng/ChatGPT,gradio,,159
huggingface/data-measurements-tool,gradio,,1278
taesiri/BLIP-2,gradio,openrail,85
PKUWilliamYang/VToonify,docker,cc-by-nc-sa-4.0,69
deepseek-ai/deepseek-coder-33b-instruct,gradio,,210
hf4h/biomedical-language-models,gradio,apache-2.0,209
project-baize/chat-with-baize,docker,,381
Gradio-Blocks/Story_and_Video_Generation,gradio,,71
LinkSoul/Chinese-Llama-2-7b,gradio,cc-by-nc-4.0,522
pyannote/pretrained-pipelines,gradio,,269
segmind/Segmind-Stable-Diffusion,gradio,bigscience-openrail-m,181
felixrosberg/face-swap,gradio,,164
AIGC-Audio/AudioGPT,gradio,mit,174
lmsys/chatbot-arena,streamlit,gpl-3.0,91
mms-meta/MMS,gradio,,403
google/sdxl,gradio,mit,398
akhaliq/JoJoGAN,gradio,,158
sanchit-gandhi/whisper-large-v2,gradio,mit,1280
OlaWod/FreeVC,gradio,,76
jiawei011/dreamgaussian,gradio,mit,80
havas79/Real-ESRGAN_Demo,gradio,,125
GitMylo/bark-voice-cloning,gradio,,764
PaddlePaddle/ERNIE-ViLG,gradio,,306
JohnSmith9982/ChuanhuChatGPT,streamlit,,751
Awiny/Image2Paragraph,gradio,apache-2.0,94
lambdalabs/text-to-naruto,gradio,,131
ikechan8370/vits-uma-genshin-honkai,gradio,,548
HuggingFaceH4/open_llm_leaderboard,gradio,cc-by-nc-4.0,170
hysts/DeepDanbooru,gradio,mit,239
xvjiarui/ODISE,docker,apache-2.0,115
sanchit-gandhi/musicgen-streaming,gradio,,114
coqui/xtts,gradio,,91
FaceOnLive/Face-Recognition-SDK,gradio,mit,83
daspartho/prompt-extend,gradio,mit,317
laion/CoCa,gradio,afl-3.0,389
nielsr/text-based-inpainting,gradio,,121
MAGAer13/mPLUG-Owl,gradio,mit,85
fffiloni/CLIP-Interrogator-2,gradio,mit,94
BlinkDL/RWKV-World-7B,gradio,mit,250
FaceOnLive/ID-Document-Recognition-SDK,gradio,,115
DeepFloyd/IF,gradio,,79
competitions/aiornot,gradio,,215
thomas-yanxin/LangChain-ChatLLM,gradio,,268
fffiloni/zeroscope-img-to-video,static,mit,174
tloen/alpaca-lora,gradio,mit,185
CompVis/stable-diffusion-license,docker,mit,80
facebook/seamless_m4t,static,mit,75
AP123/Upside-Down-Diffusion,gradio,apache-2.0,543
Gradio-Blocks/neon-tts-plugin-coqui,docker,,80
bigcode/in-the-stack,gradio,,85
manhkhanhUIT/Image_Restoration_Colorization,static,mit,76
SteveDigital/free-fast-youtube-url-video-to-text-using-openai-whisper,gradio,bsd-3-clause,167
radames/edit-video-by-editing-text,gradio,apache-2.0,147
autoevaluate/leaderboards,static,,89
ArkanDash/rvc-models-new,gradio,mit,411
cvlab/zero123-live,gradio,,101
DEEMOSTECH/ChatAvatar,gradio,,180
SkalskiP/SAM_and_MetaCLIP,gradio,,2160
prithivida/Gramformer,gradio,,104
huggingface-projects/stable-diffusion-latent-upscaler,streamlit,,104
aliabid94/AutoGPT,gradio,mit,143
HuggingFaceH4/zephyr-chat,gradio,mit,557
kamiyamai/stable-diffusion-webui,gradio,,522
fffiloni/ControlNet-Video,gradio,mit,193
nateraw/animegan-v2-for-videos,docker,,632
multimodalart/stable-diffusion-inpainting,gradio,mit,128
dvruette/fabric,gradio,,227
awacke1/Image-to-Line-Drawings,gradio,apache-2.0,127
fffiloni/DragGAN,gradio,mit,83
SmilingWolf/wd-v1-4-tags,gradio,,144
Curranj/Words_To_SQL,gradio,,73
mosaicml/mpt-30b-chat,gradio,,215
simonduerr/ProteinMPNN,gradio,mit,127
Vokturz/can-it-run-llm,docker,apache-2.0,70
weizmannscience/text2live,gradio,,86
fffiloni/VideoRetalking,docker,apache-2.0,75
CarperAI/StableVicuna,gradio,mit,84
seungheondoh/LP-Music-Caps-demo,gradio,cc-by-nc-4.0,132
lnyan/stablediffusion-infinity,gradio,afl-3.0,119
kevinwang676/Bark-with-Voice-Cloning,gradio,mit,548
huggingface/bloom_demo,gradio,mit,197
ysharma/ChatGPT4,gradio,,94
fffiloni/Pix2Pix-Video,gradio,,87
dwarkesh/whisper-speaker-recognition,gradio,,138
ronvolutional/ai-pokemon-card,gradio,,241
huggingchat/chat-ui,gradio,,86
HuggingFaceH4/starchat-playground,gradio,mit,203
fffiloni/prompt-converter,gradio,,84
NeuralInternet/Text-to-Video_Playground,gradio,mit,2647
sophiamyang/Panel_PDF_QA,gradio,,100
ShiwenNi/ChatReviewer,gradio,,216
DAMO-NLP-SG/Video-LLaMA,gradio,cc-by-nc-4.0,176
pharmapsychotic/sd-prism,gradio,,107
PaddlePaddle/UIE-X,gradio,,97
shi-labs/OneFormer,gradio,apache-2.0,136
GMFTBY/PandaGPT,gradio,cc-by-nc-4.0,232
deepset/should-i-follow,gradio,apache-2.0,236
CikeyQI/QQsign,gradio,,190
hysts/zeroscope-v2,gradio,openrail,232
fffiloni/Music-To-Image,gradio,apache-2.0,129
doevent/prompt-generator,gradio,gpl-3.0,171
IDEA-Research/Grounded-SAM,gradio,apache-2.0,117
22h/vintedois-diffusion-v0-1,gradio,,71
vinthony/SadTalker,gradio,,441
haotiz/glip-zeroshot-demo,gradio,apache-2.0,96
Sanster/Lama-Cleaner-lama,gradio,apache-2.0,168
CVPR/DualStyleGAN,gradio,mit,405
whitead/paper-qa,gradio,,76
tiiuae/falcon-180b-demo,docker,mit,103
radames/dpt-depth-estimation-3d-voxels,gradio,apache-2.0,81
Yuliang/ECON,docker,apache-2.0,224
EleutherAI/clip-guided-diffusion,streamlit,,745
huggingface-projects/repo_duplicator,gradio,other,203
yizhangliu/chatGPT,gradio,,147
deepwisdom/MetaGPT,docker,,127
jbilcke-hf/webapp-factory-wizardcoder,gradio,,93
THUDM/CogVideo,gradio,mit,452
BilalSardar/Voice-Cloning,gradio,cc-by-nc-sa-4.0,106
chansung/co-write-with-llama2,gradio,openrail,365
osanseviero/mistral-super-fast,gradio,,335
haoheliu/audioldm-text-to-audio-generation,gradio,apache-2.0,69
camenduru-com/webui-docker,gradio,mit,1420
runwayml/stable-diffusion-inpainting,gradio,,152
bennyguo/threestudio,gradio,creativeml-openrail-m,125
huggingface-projects/wordalle,gradio,,932
SpacesExamples/ComfyUI,gradio,apache-2.0,512
RamAnanth1/ControlNet,gradio,,74
hf-audio/whisper-large-v3,gradio,mit,327
lambdalabs/image-mixer-demo,static,cc-by-nc-4.0,69
tonyassi/face-swap,gradio,cc-by-nc-4.0,75
tomg-group-umd/pez-dispenser,gradio,apache-2.0,72
aadnk/faster-whisper-webui,gradio,,432
tomg-group-umd/lm-watermarking,gradio,agpl-3.0,337
adept/fuyu-8b-demo,gradio,,227
weizmannscience/multidiffusion-region-based,gradio,mit,6094
huggingface-projects/llama-2-13b-chat,gradio,,345
camel-ai/camel-agents,gradio,apache-2.0,185
