observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[0.33157914876937866, 0.05220062658190727, 0.03480317443609238, -0.11392851173877716, 0.2362539917230606, 0.9727523326873779, 0.0, 0.5354229807853699]","[0.01565304398536682, -0.016720399260520935, 0.018724337220191956, -0.05883157253265381, -0.056798603385686874, -0.013248458504676819, 0.0]",8.0,23,12,349,11
"[0.29851606488227844, 0.00525004044175148, 0.07868149876594543, -0.019709743559360504, -0.09650903195142746, -0.8456552624702454, 0.0, 0.9745318293571472]","[-0.004797697067260742, -0.004120320081710815, 0.012678831815719604, 0.0009602569043636322, -0.04329395666718483, 0.11924760043621063, 0.0]",2.799999952316284,19,3,486,4
"[0.2929854094982147, 0.1130184754729271, 0.07458555698394775, -0.03598575294017792, 0.0379423089325428, -0.025873782113194466, 0.0, 0.5729578137397766]","[0.002173900604248047, -0.015064312145113945, -0.0026741251349449158, 0.01020626351237297, -0.01202690601348877, -0.04608846455812454, 0.0]",7.800000190734863,30,9,417,1
"[0.2881000339984894, 0.039156608283519745, 0.1799211949110031, -0.0015990195097401738, -0.12121166288852692, 0.17138437926769257, 0.0, 0.9994885921478271]","[0.00026541948318481445, 0.0002927258610725403, 0.0007066689431667328, 0.001887202262878418, -0.00038579851388931274, 0.005718708038330078, 1.0]",4.199999809265137,12,1,47,6
"[0.31609949469566345, -0.06544696539640427, 0.08828292042016983, 0.02056107297539711, 0.11527246236801147, 0.17437104880809784, 0.0, 0.6611326336860657]","[-0.009946882724761963, 0.010667547583580017, -0.007740095257759094, -0.006791131570935249, 0.03313758224248886, 0.05061718076467514, 1.0]",6.0,5,13,333,4
"[0.32657694816589355, -0.055617280304431915, 0.09849399328231812, -0.09934523701667786, -0.3589964210987091, 0.15173110365867615, 0.0, 1.0001531839370728]","[0.004149407148361206, -0.0009178146719932556, -0.001904413104057312, -0.004116633906960487, -0.007324874401092529, 0.005029117688536644, 0.0]",1.399999976158142,15,13,90,4
"[0.3224426805973053, 0.012316388078033924, 0.0503372997045517, -0.006936522200703621, 0.013622377999126911, 0.016193028539419174, 0.0, 0.9988223910331726]","[0.0005619525909423828, -7.048249244689941e-05, 0.012044079601764679, 0.006628908216953278, -0.06290514022111893, -0.2262563705444336, 0.0]",0.20000000298023224,5,6,136,1
"[0.3757363557815552, -0.13145726919174194, 0.04677123948931694, 0.09179358929395676, -0.09810192883014679, 0.16771183907985687, 0.0, 0.9865638017654419]","[0.00235024094581604, 0.0020770803093910217, -5.342066287994385e-06, 0.0037106871604919434, 0.0013333708047866821, 0.0011893510818481445, 0.0]",4.199999809265137,22,6,156,7
"[0.37929853796958923, 0.07554508745670319, 0.05446186289191246, 0.06579235196113586, 0.01705974154174328, 0.24915796518325806, 0.0, 1.0001531839370728]","[-0.0006321966648101807, 0.01028817892074585, 0.0007105180993676186, 0.0011761821806430817, -0.005465414375066757, -0.01629737764596939, 0.0]",0.20000000298023224,20,2,470,6
"[0.3251505196094513, 0.09735827893018723, 0.09595341235399246, -0.13177911937236786, -0.22199979424476624, 0.634027898311615, 0.0, 1.0086473226547241]","[0.0014683306217193604, 0.000620715320110321, -0.009320730343461037, 0.00042432546615600586, 0.0038509592413902283, 0.02641473338007927, 1.0]",4.400000095367432,17,11,276,0
"[0.25807759165763855, -0.02633613534271717, 0.05967475473880768, 0.05656399950385094, 0.07925169914960861, -0.013540253974497318, 0.0, 1.0086473226547241]","[0.003293454647064209, -0.014443174004554749, 0.013437360525131226, 0.02514946460723877, -0.02631285786628723, 0.03968486934900284, 0.0]",8.800000190734863,3,3,304,9
"[0.3392123579978943, 0.08060797303915024, 0.03169199451804161, 0.015111315064132214, -0.05177352577447891, 0.6991099715232849, 0.0, 0.26948168873786926]","[0.004459083080291748, -0.00020210258662700653, 0.0036238431930541992, -0.01168791949748993, -0.0031198710203170776, 0.0032500624656677246, 1.0]",3.0,9,10,87,11
"[0.35434195399284363, 0.10606268793344498, 0.006266784854233265, -0.06588488072156906, 0.0018201774219051003, 0.32263264060020447, 0.0, 0.9988223910331726]","[-0.0011087656021118164, 0.000692218542098999, -0.0010039955377578735, -0.01047930121421814, 0.01069951057434082, 0.0118245929479599, 0.0]",9.0,33,0,123,3
"[0.2821442782878876, -0.006753263995051384, 0.14558015763759613, -0.07574822008609772, 0.03341842442750931, 0.22140876948833466, 0.0, 1.0001531839370728]","[-0.0019384324550628662, 0.006298014894127846, -0.004961147904396057, 0.00843663141131401, -0.0028329789638519287, 0.10369753837585449, 1.0]",0.4000000059604645,34,8,296,4
"[0.32880619168281555, 0.03498464077711105, 0.0932282954454422, -0.21021389961242676, 0.07193870842456818, 0.8750765919685364, 0.0, 0.4699908196926117]","[0.0031231939792633057, -0.006796523928642273, -0.006682880222797394, 0.00841425359249115, -0.009420827031135559, 0.012022733688354492, 1.0]",4.400000095367432,16,7,205,4
"[0.3029089570045471, 0.0025001205503940582, 0.03559231013059616, -0.03591032326221466, -0.052799493074417114, -0.8113961219787598, 0.0, 0.17514994740486145]","[-0.009670555591583252, 0.008840024471282959, 0.0033690528944134712, 0.042608484625816345, 0.0005466341972351074, -0.032037556171417236, 1.0]",0.0,23,1,369,2
"[0.4454282522201538, -0.0733208879828453, 0.05294791981577873, -0.07958612591028214, -0.5063458681106567, 0.1683056503534317, 0.0, 0.9994885921478271]","[0.0016776621341705322, -0.0060522109270095825, -0.006854470819234848, 0.004271470010280609, -0.003104880452156067, 0.017730653285980225, 1.0]",2.4000000953674316,24,8,159,3
"[0.3729858100414276, -0.00861381646245718, 0.14661718904972076, 0.029463352635502815, -0.1597864180803299, 0.3206171691417694, 0.0, 0.05980546772480011]","[-0.002229660749435425, -0.043045252561569214, -0.0007068496197462082, -0.027795586735010147, 0.023172058165073395, -0.10865585505962372, 0.0]",2.799999952316284,30,6,149,4
"[0.25571709871292114, -0.022782355546951294, 0.053952284157276154, 0.07680140435695648, 0.07429751753807068, -0.009230617433786392, 0.0, 0.8930966854095459]","[-0.021525412797927856, -0.010435467585921288, -0.004815265536308289, 0.02290862426161766, 0.010562792420387268, -0.06623333692550659, 1.0]",7.800000190734863,27,8,456,4
"[0.2572501003742218, 0.178678959608078, 0.012294137850403786, 0.009272170253098011, -0.2717563807964325, 0.6874707341194153, 0.0, 0.06712212413549423]","[-0.0030847787857055664, -0.007138889282941818, -0.0039038434624671936, -0.040801096707582474, 0.026472538709640503, 0.06130634993314743, 1.0]",1.0,11,5,400,8
"[0.29659736156463623, 0.08721912652254105, 0.09090666472911835, 0.4220196604728699, -0.13262920081615448, 0.04135137051343918, 0.0, 0.9913908839225769]","[-0.002749919891357422, 0.0008172616362571716, -0.0016447603702545166, -0.0007506906986236572, 0.021039962768554688, 0.010265111923217773, 1.0]",5.199999809265137,11,12,270,9
"[0.29560863971710205, 0.11468124389648438, 0.040163304656744, -0.0344025082886219, 0.04736689478158951, 0.0004476371977943927, 0.0, 0.5729578137397766]","[-0.004564136266708374, -0.0014538541436195374, -0.0007593296468257904, 0.0013531595468521118, -0.01643906906247139, 0.0031068921089172363, 1.0]",5.0,5,3,27,11
"[0.1962002068758011, 0.22965683043003082, 0.029016466811299324, 0.22757123410701752, -0.24614036083221436, 0.6040492057800293, 0.0, 1.00800359249115]","[0.008420854806900024, 0.002885095775127411, -0.009176947176456451, 0.034490685909986496, 0.013701409101486206, -0.06968385726213455, 0.0]",2.0,10,11,339,3
"[0.3812366724014282, 0.06462264806032181, 0.03087363950908184, 0.0047131991013884544, 0.08902587741613388, 0.28791558742523193, 0.0, 1.0001531839370728]","[-0.0064546167850494385, 0.006085425615310669, 0.013102257624268532, 0.061468787491321564, 0.04585111141204834, -0.002305328845977783, 0.0]",4.400000095367432,0,3,103,4
"[0.31700557470321655, -0.10942912846803665, 0.05938010290265083, -0.07651335000991821, -0.3417840003967285, 0.15355941653251648, 0.0, 1.0008161067962646]","[-0.01295199990272522, -0.0028958688490092754, 0.0024868398904800415, 0.06616037338972092, 0.03418554738163948, -0.03660869598388672, 1.0]",7.800000190734863,13,3,201,5
"[0.4437970519065857, -0.07526756823062897, 0.06542932987213135, -0.10756003856658936, -0.5191019773483276, 0.1780407428741455, 0.0, 0.6951970458030701]","[0.003945931792259216, -0.013643513433635235, -0.0016113519668579102, -0.01643768697977066, -0.013614069670438766, 0.04451332241296768, 1.0]",2.200000047683716,2,3,72,4
"[0.37470993399620056, -0.0189430620521307, 0.1460132598876953, -0.03301224112510681, -0.13282102346420288, 0.34682121872901917, 0.0, 0.05980546772480011]","[-0.00040093064308166504, 0.0016894806176424026, -0.0005748141556978226, 0.002661183476448059, 0.0027260184288024902, 0.001278996467590332, 1.0]",3.5999999046325684,24,6,143,11
"[0.3920845091342926, -0.10077879577875137, 0.0957423597574234, -0.07958264648914337, -0.3930128514766693, 0.11645301431417465, 0.0, 0.590900182723999]","[0.0007282495498657227, -0.0014981776475906372, -0.007129743695259094, 0.01060311496257782, 0.002645060420036316, -0.034077584743499756, 0.0]",5.800000190734863,22,5,225,2
"[0.37470901012420654, -0.13155250251293182, 0.011286428198218346, 0.060910072177648544, -0.17568255960941315, 0.20809900760650635, 0.0, 0.6551066637039185]","[0.0016645491123199463, 0.004263386130332947, -0.004905189387500286, 0.012098431587219238, 0.010242745280265808, 0.001974642276763916, 0.0]",7.599999904632568,27,5,132,5
"[0.279680073261261, 0.03473886102437973, 0.1478498876094818, -0.08426523208618164, -0.07964297384023666, 0.18535876274108887, 0.0, 0.5344430208206177]","[-0.0006877481937408447, 0.0037924423813819885, 0.0011616433039307594, -0.01681872457265854, 0.015227366238832474, -0.012455642223358154, 0.0]",2.5999999046325684,8,8,366,3
"[0.292118638753891, 0.09428052604198456, 0.011706053279340267, 0.00925435870885849, -0.01482317317277193, 0.012680941261351109, 0.0, 0.39273425936698914]","[0.0007642805576324463, -0.001292359083890915, -0.01080872118473053, 0.007914170622825623, 0.02877137064933777, 0.014538884162902832, 0.0]",4.400000095367432,6,5,265,3
"[0.1851205825805664, 0.04479074478149414, 0.0953250452876091, -0.04588494822382927, -0.049654942005872726, -0.09982825815677643, 0.0, 1.0001531839370728]","[0.001279100775718689, 0.0010693296790122986, -0.0003157537430524826, 0.01776157319545746, -0.014201447367668152, 0.03120937943458557, 0.0]",7.0,21,9,442,8
"[0.20361803472042084, 0.238168865442276, 0.06491172313690186, 0.2332444190979004, -0.28424885869026184, 0.5280070900917053, 0.0, 1.0008161067962646]","[-0.003166764974594116, 0.015962842851877213, 0.05045062303543091, -0.06683771312236786, -0.0549788773059845, 0.027827411890029907, 1.0]",7.199999809265137,6,4,66,10
"[0.3282446265220642, -0.06488008797168732, 0.10288961231708527, 0.013455194421112537, 0.07312139123678207, 0.13240258395671844, 0.0, 1.0001531839370728]","[0.028803855180740356, -0.00570911169052124, -0.019442513585090637, 0.028879906982183456, -0.0037570595741271973, 0.027202144265174866, 1.0]",7.400000095367432,3,0,78,3
"[0.3768022954463959, 0.09989213198423386, 0.03227303549647331, 0.1984211653470993, -0.046593017876148224, -0.7707672715187073, 0.0, 0.347801148891449]","[-0.00044861435890197754, 0.007299207150936127, -0.0019948408007621765, 0.0006887838244438171, 0.00783524475991726, 0.015903323888778687, 1.0]",3.5999999046325684,40,2,477,4
"[0.3321453332901001, -0.027792463079094887, 0.1303996443748474, -0.04202171415090561, -0.02531907521188259, 0.1133977472782135, 0.0, 0.9994885921478271]","[-0.0014449656009674072, 0.0014970898628234863, -0.00037857331335544586, -0.00878988765180111, 0.015442192554473877, 0.01804530620574951, 0.0]",3.4000000953674316,4,2,107,6
"[0.32594767212867737, 0.11042152345180511, 0.02342452108860016, 0.01349655445665121, -0.024634327739477158, -0.6713472008705139, 0.0, 1.0001531839370728]","[-0.00531497597694397, 0.005224175751209259, -0.004319041967391968, -0.015531681478023529, 0.011160295456647873, 0.013084694743156433, 0.0]",0.6000000238418579,4,2,263,7
"[0.30631449818611145, 0.09160621464252472, 0.06556035578250885, 0.3658556342124939, -0.11002859473228455, 0.22542238235473633, 0.0, 0.9920742511749268]","[0.0009074956178665161, -0.0077703557908535, -0.013575524091720581, -0.006763532757759094, 0.010396614670753479, 0.10735484212636948, 1.0]",2.4000000953674316,11,9,292,8
"[0.22908928990364075, -0.05635835975408554, 0.07424318045377731, -0.19132345914840698, -0.24582518637180328, 0.3938804864883423, 0.0, 0.5570889115333557]","[-0.00758206844329834, -0.000815805047750473, -0.019134866073727608, -0.00545768067240715, 0.052562832832336426, 0.004568025469779968, 1.0]",3.200000047683716,18,3,69,0
"[0.3782261610031128, -0.13113108277320862, 0.03721600025892258, 0.07043623179197311, -0.1259964406490326, 0.16726619005203247, 0.0, 0.9865638017654419]","[-0.0042768120765686035, -0.013460813090205193, 0.001770712435245514, -0.025694943964481354, 0.011664550751447678, 0.01788860559463501, 0.0]",6.800000190734863,21,13,443,6
"[0.34262973070144653, 0.03386709839105606, 0.15366056561470032, 0.2929970324039459, -0.1991891860961914, 0.16468451917171478, 0.0, 0.05980546772480011]","[-0.0009842514991760254, -4.1931867599487305e-05, -0.0017448663711547852, -3.084540367126465e-05, 0.0017935708165168762, 0.006791442632675171, 0.0]",1.0,16,1,258,7
"[0.33680060505867004, -0.04729196056723595, -0.04935237020254135, -0.052410826086997986, 0.03395700082182884, -0.11335787922143936, 0.0, 0.6981924772262573]","[-0.003584742546081543, 0.0033092088997364044, -0.0011691451072692871, 0.035174399614334106, -0.006962388753890991, 0.007359802722930908, 0.0]",6.800000190734863,8,7,414,1
"[0.2403879165649414, -0.004066449590027332, 0.1456558108329773, -0.30718791484832764, -0.2744239270687103, 0.5332757234573364, 0.0, 0.5570889115333557]","[-0.0183563232421875, 0.030794396996498108, -0.01070653647184372, -0.02235265076160431, 0.01606220006942749, 0.039105892181396484, 0.0]",1.600000023841858,7,6,297,8
"[0.44538387656211853, -0.07050733268260956, 0.05296003818511963, -0.04686591029167175, -0.5102218985557556, 0.13727155327796936, 0.0, 1.0008161067962646]","[-0.0016609728336334229, 0.00759086012840271, -0.0012373123317956924, -0.012785360217094421, 0.018896788358688354, 0.029789507389068604, 0.0]",3.5999999046325684,30,4,485,4
"[0.3228936791419983, -0.0651165321469307, 0.09686116874217987, 0.02153131738305092, 0.09338124096393585, 0.1580786108970642, 0.0, 0.9994885921478271]","[0.0007285475730895996, 0.0005237609148025513, -0.016523413360118866, -0.007804602384567261, 0.0009285137057304382, 0.026952415704727173, 1.0]",4.800000190734863,2,3,478,5
"[0.37370553612709045, -0.13701534271240234, 0.08639243990182877, 0.10753657668828964, -0.08371555805206299, 0.10970450937747955, 0.0, 0.9865638017654419]","[-0.013674914836883545, 0.022451691329479218, -0.004987258464097977, -0.0007984191179275513, -0.07541082799434662, 0.09059295058250427, 1.0]",5.0,18,2,421,4
"[0.33273857831954956, 0.10711607336997986, -0.05220423638820648, -0.02240382693707943, 0.022416511550545692, 0.3754388689994812, 0.0, 0.3849146366119385]","[0.0026190578937530518, -0.0031125303357839584, 0.005173094570636749, -0.02531249448657036, -0.04095864295959473, 0.008109930902719498, 1.0]",5.400000095367432,24,3,415,7
"[0.4233455955982208, -0.08328735828399658, 0.07619258761405945, 0.0010433045681566, -0.37511464953422546, -0.0044060745276510715, 0.0, 0.590900182723999]","[0.009770125150680542, -0.003950759768486023, -0.004421565681695938, -0.008713938295841217, -0.026912450790405273, 0.03173947334289551, 1.0]",2.0,17,12,496,5
"[0.3288414478302002, -0.061207931488752365, 0.10254683345556259, 0.002721542026847601, 0.07602047175168991, 0.11778904497623444, 0.0, 1.0001531839370728]","[-0.0009502768516540527, 0.00010641664266586304, -0.0005227252840995789, -0.0003159865736961365, 0.007606774568557739, -0.002806350588798523, 1.0]",7.400000095367432,7,13,449,5
"[0.2547402083873749, 0.17101550102233887, 0.009444301947951317, -0.044521331787109375, 0.0483500100672245, 0.15859390795230865, 0.0, 0.6069100499153137]","[-0.0027022957801818848, -0.007898043841123581, -0.00815580040216446, 0.010434338822960854, 0.031043991446495056, 0.0019750818610191345, 1.0]",3.799999952316284,25,2,365,7
"[0.35348424315452576, 0.06668952107429504, 0.0810575932264328, 0.07184413820505142, -0.049354590475559235, 0.22257539629936218, 0.0, 1.0001531839370728]","[0.018154054880142212, 0.0032081156969070435, -0.012848012149333954, 0.0547560453414917, 0.008319314569234848, -0.06399589776992798, 1.0]",1.7999999523162842,33,12,290,9
"[0.26412975788116455, 0.1796952486038208, 0.026910746470093727, -0.044065315276384354, 0.06877731531858444, 0.12778913974761963, 0.0, 0.9981546401977539]","[0.003322005271911621, 0.0065247006714344025, -0.0075554922223091125, -0.00822359323501587, 0.02442552149295807, 0.016280770301818848, 0.0]",5.0,26,10,279,8
"[0.33594536781311035, 0.012904527597129345, 0.034816864877939224, 0.005648573394864798, -0.05473374202847481, -0.7535985708236694, 0.0, 0.12885156273841858]","[0.0021827220916748047, 0.0005269944667816162, 0.022337032482028008, -0.03889166936278343, 0.02856474369764328, -0.19040358066558838, 0.0]",5.400000095367432,14,8,342,11
"[0.309397429227829, 0.06588669866323471, 0.1289786994457245, 0.019645242020487785, -0.003526289714500308, -0.10322795063257217, 0.0, 0.36865687370300293]","[0.006505116820335388, -0.00576586090028286, -0.005083668977022171, -0.0029100626707077026, -0.013156473636627197, 0.023662328720092773, 1.0]",2.4000000953674316,22,9,259,0
"[0.2970769703388214, 0.1153019592165947, 0.030842574313282967, -0.0339781828224659, 0.051217854022979736, 0.0268623698502779, 0.0, 0.6470694541931152]","[-0.004994720220565796, -0.011024728417396545, -0.011778861284255981, -0.034783631563186646, 0.058788418769836426, 0.0901826024055481, 1.0]",6.599999904632568,17,6,242,6
"[0.3352802097797394, 0.029956916347146034, 0.019742248579859734, -0.02600172907114029, -0.1192018911242485, 0.12910610437393188, 0.0, 0.36950385570526123]","[0.004142791032791138, 0.009678125381469727, -0.010611485689878464, -0.002300858497619629, -0.053849563002586365, 0.0454353392124176, 1.0]",1.0,36,5,84,4
"[0.38155946135520935, -0.1043352484703064, 0.03481335937976837, 0.16853126883506775, -0.12794329226016998, 0.034370437264442444, 0.0, 1.0001531839370728]","[-0.0010132193565368652, 0.0012382417917251587, -0.01448122039437294, -0.0037861019372940063, -0.014430999755859375, 0.00697191059589386, 1.0]",3.4000000953674316,27,6,215,11
"[0.293599933385849, 0.11621061712503433, 0.10662023723125458, -0.047209303826093674, 0.06524751335382462, 0.0013161678798496723, 0.0, 0.5729578137397766]","[-0.0029509365558624268, -0.0016571730375289917, -0.015546247363090515, 0.008729387074708939, -0.01493094488978386, -0.01756390742957592, 0.0]",8.199999809265137,5,12,473,10
"[0.3830954134464264, 0.08207587152719498, 0.05256585776805878, 0.07263214886188507, 0.025919059291481972, 0.25750070810317993, 0.0, 1.0001531839370728]","[-0.0054540932178497314, 0.013832833617925644, 0.02150183916091919, 0.04577791318297386, -0.009886667132377625, 0.025405168533325195, 1.0]",8.0,6,8,120,11
"[0.2863374352455139, 0.16107746958732605, 0.11543920636177063, -0.06142796576023102, 0.09738413244485855, -0.023789886385202408, 0.0, 0.5729578137397766]","[-0.03899219632148743, -0.02818116545677185, 0.008498668670654297, -0.005021087825298309, 0.014763295650482178, -0.0882575511932373, 0.0]",4.0,35,12,355,1
"[0.30151861906051636, 0.0018219073535874486, 0.037695664912462234, -0.022425593808293343, -0.03101808950304985, -0.8241559863090515, 0.0, 0.39798861742019653]","[-0.004962801933288574, 0.0060286745429039, 0.010828377678990364, 0.0011257566511631012, 0.0030759088695049286, 0.016216514632105827, 1.0]",8.399999618530273,3,13,387,1
"[0.38074731826782227, 0.08697955310344696, 0.03872767463326454, 0.0674353837966919, 0.06466726958751678, 0.2797667980194092, 0.0, 1.0001531839370728]","[0.0012643635272979736, -0.0003557130694389343, -0.016211330890655518, 0.02085777372121811, -0.023942846804857254, 0.08689342439174652, 0.0]",9.199999809265137,18,10,141,2
"[0.3491692841053009, 0.011316432617604733, 0.011405326426029205, 5.695425716112368e-05, -0.27831169962882996, 0.4369388520717621, 0.0, 0.37717074155807495]","[-0.022506922483444214, 0.02436259388923645, 0.007947683334350586, -0.002167174592614174, -0.01905778795480728, 0.07158553600311279, 1.0]",0.0,41,7,392,10
"[0.33305054903030396, -0.013088338077068329, 0.019035398960113525, -0.053797315806150436, -0.09602983295917511, 0.020450253039598465, 0.0, 0.36950385570526123]","[0.004347652196884155, -0.001017596572637558, -0.02080271951854229, 0.0029679760336875916, 0.03859178349375725, -0.0007901377975940704, 0.0]",2.4000000953674316,2,12,425,11
"[0.3251515030860901, 0.1229921206831932, 0.008312899619340897, -0.023827524855732918, -0.004642744082957506, -0.34336090087890625, 0.0, 0.6902000904083252]","[0.00041538476943969727, 0.002139538526535034, -2.2962689399719238e-05, 0.020418472588062286, -0.007486402988433838, -0.015829548239707947, 0.0]",0.20000000298023224,35,12,6,7
"[0.3739888072013855, -0.019057057797908783, 0.1340607851743698, -0.06716708093881607, -0.12303117662668228, 0.3725525438785553, 0.0, 0.05980546772480011]","[-0.003838181495666504, -0.0001417696475982666, 0.0006804093718528748, 0.016957461833953857, 0.00860169529914856, -0.013836264610290527, 1.0]",8.600000381469727,28,2,475,1
"[0.3465659022331238, -0.042753975838422775, 0.08149635791778564, 0.12031161040067673, -0.12764562666416168, 0.1454833596944809, 0.0, 0.9865638017654419]","[-3.9637088775634766e-05, -0.00014381017535924911, -3.719143569469452e-05, -0.00017938017845153809, 0.0007779598236083984, -0.0019074082374572754, 1.0]",3.0,1,0,241,8
"[0.358890563249588, 0.005954669322818518, 0.11710657924413681, 0.07424663007259369, -0.37165769934654236, -0.05264798179268837, 0.0, 1.0001531839370728]","[-0.015142738819122314, 0.016398340463638306, 0.0017015039920806885, -0.009194079786539078, 0.0010986104607582092, -0.04274299740791321, 1.0]",8.600000381469727,14,11,261,3
"[0.2913428246974945, 0.10775986313819885, 0.10773889720439911, -0.04120916873216629, -0.0015677619958296418, -0.16342617571353912, 0.0, 0.3236125409603119]","[-0.009061992168426514, 0.00620993971824646, 0.007990982383489609, 0.0065609365701675415, -0.02362614870071411, 0.04040016233921051, 1.0]",1.600000023841858,26,4,172,2
"[0.4290391802787781, -0.0643288716673851, 0.06962434202432632, -0.10101795196533203, -0.44935235381126404, 0.19154980778694153, 0.0, 1.0001531839370728]","[0.006191670894622803, -0.009295322000980377, 0.0039789117872715, 0.0023863669484853745, -0.009831691160798073, 0.06620396673679352, 1.0]",3.0,21,1,77,2
"[0.3418765068054199, -0.03831353038549423, -0.04851917549967766, -0.05857935547828674, 0.05415009334683418, -0.07453728467226028, 0.0, 0.36950385570526123]","[0.003682166337966919, 0.008981302380561829, -0.005022555589675903, -0.0016142874956130981, 0.0235447958111763, 0.020585104823112488, 1.0]",2.0,23,7,483,11
