observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[0.47042787075042725, -0.2120426744222641, 0.3808421194553375, -2.898963689804077, 0.09522159397602081, -0.9798625707626343, 0.0, 0.0]","[-0.8449844121932983, -0.48274579644203186, -0.11865764856338501, 0.09955419600009918, -0.20654571056365967, -0.5512850880622864, 1.0]",9.199999809265137,8,2,123,0
"[0.48548659682273865, -0.201205313205719, 0.3599970042705536, -2.972525119781494, 0.03235727176070213, -0.9601982831954956, 0.0, 0.9383260011672974]","[0.2031557261943817, -0.006538099143654108, -0.1250322163105011, 0.02926819585263729, 0.026445208117365837, -0.21749339997768402, 1.0]",8.333333015441895,38,0,295,0
"[0.49382835626602173, -0.05154629051685333, 0.16952203214168549, 2.9141409397125244, 0.10335423052310944, 0.9204121828079224, 0.0, 0.9867841601371765]","[-0.07785600423812866, -0.03869842365384102, -0.027336662635207176, 0.2706356644630432, -0.008354784920811653, -0.01453452743589878, 0.32929515838623047]",2.3333332538604736,149,0,348,0
"[0.3674507439136505, -0.17758838832378387, 0.40110674500465393, 3.1014163494110107, -0.09543342143297195, -1.1848434209823608, 0.0, 0.0]","[-0.03330817446112633, 0.04587115719914436, -0.04613898694515228, 0.16243213415145874, -0.1814543753862381, 0.383634477853775, 0.015418529510498047]",6.800000190734863,10,2,252,0
"[0.3445760905742645, 0.1072506308555603, 0.4307568073272705, -3.088932514190674, 0.011513392440974712, 0.21554477512836456, 0.0, 0.0]","[0.3450149595737457, -0.3540644943714142, -0.07283999025821686, 0.05264005437493324, 0.07301528006792068, -0.9959406852722168, 1.0]",9.066666603088379,27,0,369,0
"[0.3755255937576294, -0.2660681903362274, 0.36475351452827454, 3.047417640686035, -0.036288753151893616, -1.4732394218444824, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013215839862823486]",14.866666793823242,7,0,291,0
"[0.48201003670692444, -0.22034385800361633, 0.36643484234809875, -3.092045307159424, -0.06610933691263199, -1.1219041347503662, 0.0, 0.9383260011672974]","[-0.3721519410610199, 0.03978978842496872, 0.2500307559967041, -0.3387106657028198, -0.06260786950588226, 0.08197775483131409, 1.0]",8.066666603088379,4,0,201,0
"[0.4854678511619568, 0.2014344185590744, 0.3872480094432831, 2.5146379470825195, -0.41367146372795105, 1.383244514465332, 0.0, 0.9867841601371765]","[-0.10728229582309723, -0.21978281438350677, -0.14195890724658966, 0.21238292753696442, -0.12559626996517181, 0.24470050632953644, 1.0]",5.599999904632568,124,1,37,0
"[0.4795767068862915, -0.22556516528129578, 0.36637938022613525, -3.1024954319000244, -0.07566174119710922, -1.1695256233215332, 0.0, 0.9383260011672974]","[0.6345716118812561, 0.046943824738264084, -0.5354612469673157, -0.7429196834564209, 0.497527152299881, 0.44781363010406494, 1.0]",11.199999809265137,47,0,101,0
"[0.4787438213825226, -0.009411373175680637, 0.3848583400249481, 2.8702685832977295, 0.23750139772891998, 0.24488629400730133, 0.0, 0.0]","[0.015661923214793205, -0.1160338968038559, -0.10249538719654083, -0.11736588925123215, 0.03651856631040573, 0.11423499137163162, 0.015418529510498047]",9.533333778381348,141,0,224,0
"[0.49377840757369995, -0.05735202133655548, 0.18358664214611053, 2.889782428741455, 0.09080170840024948, 0.807637095451355, 0.0, 0.7797356843948364]","[-0.3262616991996765, 0.06866961717605591, 0.2308315634727478, -0.10052889585494995, 0.2031407654285431, -0.045217469334602356, 1.0]",1.3333333730697632,127,0,117,0
"[0.6612464189529419, 0.4244478940963745, 0.3988751769065857, 2.7589292526245117, -0.6768816113471985, 0.8332613110542297, 0.0, 0.9867841601371765]","[-0.1401418149471283, -0.04407968744635582, 0.02830394357442856, 0.4661460518836975, 0.257538765668869, 0.3097689151763916, 1.0]",4.5333333015441895,105,0,460,0
"[0.45834672451019287, -0.24228744208812714, 0.3732030391693115, -3.133371591567993, -0.07062313705682755, -1.3119477033615112, 0.0, 0.9383260011672974]","[-0.06627370417118073, 0.0315418466925621, -0.07954533398151398, 0.3594900369644165, 0.011839821003377438, 0.0622452013194561, 0.015418529510498047]",1.4666666984558105,26,0,310,0
"[0.6366497874259949, 0.34479135274887085, 0.4030909836292267, 2.8401358127593994, -0.6856508851051331, 0.7706230878829956, 0.0, 0.9867841601371765]","[-0.1316377818584442, -0.15545465052127838, -0.4653173089027405, 0.2572604715824127, -0.25085219740867615, 0.39648905396461487, 1.0]",8.533333778381348,33,1,334,0
"[0.6089552044868469, -0.02775750495493412, 0.23893678188323975, 2.876908540725708, -0.29369768500328064, -1.013452410697937, 0.0, 0.0]","[0.42039039731025696, 0.48299020528793335, 0.13656993210315704, 0.7824233174324036, 0.005035804118961096, -0.4609113037586212, 0.0033039450645446777]",7.199999809265137,20,0,463,0
"[0.6030718088150024, -0.059156280010938644, 0.23810364305973053, 2.9111876487731934, -0.0662408098578453, -0.8706613183021545, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",3.0,34,0,53,0
"[0.435068279504776, -0.21984083950519562, 0.43911951780319214, -3.005758762359619, -0.017020240426063538, -0.9011337161064148, 0.0, 0.0]","[-0.13759668171405792, -0.05201336368918419, 0.11958817392587662, -0.19314976036548615, 0.42464250326156616, 0.10601427406072617, 1.0]",0.800000011920929,79,0,153,0
"[0.5789310932159424, -0.008427513763308525, 0.2751852869987488, 2.896643877029419, -0.2979809045791626, -0.938195526599884, 0.0, 0.0]","[-0.5023879408836365, -0.7788103818893433, 0.27576005458831787, -0.6973837018013, -0.45191505551338196, -0.5562632083892822, 1.0]",3.4666666984558105,62,0,129,0
"[0.3962095081806183, -0.3009715974330902, 0.3390969932079315, 3.0352635383605957, -0.00952624250203371, -1.5854214429855347, 0.0, 0.6035242676734924]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",11.0,42,0,58,0
"[0.3679980933666229, -0.19528542459011078, 0.39783626794815063, 3.1021735668182373, -0.08561177551746368, -1.2805808782577515, 0.0, 0.0]","[-0.25883716344833374, 0.08098889142274857, 0.3605528175830841, 0.26271921396255493, 0.052762508392333984, 0.06674367189407349, 0.0033039450645446777]",10.133333206176758,116,0,266,0
"[0.49418607354164124, 0.01028244849294424, 0.38092106580734253, 3.026270866394043, -0.2135193645954132, -0.5640386939048767, 0.0, 0.0]","[-0.10821916908025742, -0.06650766730308533, 0.11206799745559692, -0.612459123134613, 0.19450995326042175, 0.06306564062833786, 1.0]",11.600000381469727,23,0,453,0
"[0.48161399364471436, -0.1968672126531601, 0.3537496030330658, -2.936185121536255, 0.11036883294582367, -0.9549987316131592, 0.0, 0.8634361028671265]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013215839862823486]",13.600000381469727,214,2,178,0
"[0.45996472239494324, -0.2146436721086502, 0.3974696695804596, -2.935955286026001, 0.0933617502450943, -0.9806452393531799, 0.0, 0.0]","[0.0912415161728859, 0.21907682716846466, 0.1281738132238388, 0.028298785910010338, -0.15612810850143433, 0.4855895936489105, 0.05333799123764038]",2.200000047683716,137,1,433,0
"[0.44492778182029724, -0.24938473105430603, 0.37826699018478394, -3.1360907554626465, -0.0354817733168602, -1.371813178062439, 0.0, 0.933920681476593]","[-0.0069357967004179955, 0.026404524222016335, -0.023696867749094963, 0.13241657614707947, -0.1417059600353241, 0.3541773855686188, 0.015418529510498047]",1.3333333730697632,91,0,118,0
"[0.48261183500289917, -0.21905986964702606, 0.36650246381759644, -3.0891120433807373, -0.06402414292097092, -1.1028900146484375, 0.0, 0.9383260011672974]","[-0.15272580087184906, -0.20665141940116882, -0.4082797169685364, 0.3166332542896271, -0.14983531832695007, 0.3000642657279968, 1.0]",9.466666221618652,13,1,400,0
"[0.4186599850654602, 0.06075436621904373, 0.24578174948692322, 2.8355464935302734, -0.09075223654508591, 1.212357521057129, 0.0, 0.9867841601371765]","[-0.2656015157699585, -0.014365403912961483, 0.2577381730079651, -0.06269180029630661, 0.1413951814174652, -0.061042167246341705, 0.9955947399139404]",4.066666603088379,51,1,285,0
"[0.38530001044273376, -0.01389278657734394, 0.5401464700698853, 3.134183645248413, -0.04807658866047859, 0.05760232359170914, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",10.533333778381348,135,0,99,0
"[0.6592800617218018, 0.40340495109558105, 0.3794735372066498, -3.104980707168579, -0.6625824570655823, 0.6893472075462341, 0.0, 0.22466962039470673]","[0.0844341516494751, 0.008151354268193245, -0.09014518558979034, -0.08729027956724167, -0.055279314517974854, 0.41014090180397034, 0.25089943408966064]",5.133333206176758,108,0,293,0
"[0.44915470480918884, -0.21571922302246094, 0.41643401980400085, -2.9659013748168945, 0.06127285212278366, -0.965215265750885, 0.0, 0.0]","[-0.200258269906044, -0.11805795878171921, -0.12060661613941193, 0.5081368088722229, 0.371212363243103, 0.24449624121189117, 1.0]",9.399999618530273,10,0,226,0
"[0.5035108923912048, -0.010993915610015392, 0.31342607736587524, 2.8455944061279297, 0.2998553514480591, 0.4080381691455841, 0.0, 0.0]","[0.04591994732618332, -0.04188591241836548, -0.11871921271085739, 0.10954123735427856, -0.022277742624282837, -0.18034906685352325, 0.8458282947540283]",3.200000047683716,171,0,403,0
"[0.3670000433921814, -0.17822064459323883, 0.4007728099822998, 3.103039264678955, -0.09563356637954712, -1.1981216669082642, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",5.5333333015441895,155,0,441,0
"[0.4588474929332733, -0.2442658394575119, 0.3666174113750458, 3.1363439559936523, -0.07576029002666473, -1.302909255027771, 0.0, 0.9383260011672974]","[-0.17400386929512024, -0.23435980081558228, 0.10426491498947144, 0.3971474766731262, 0.7448388338088989, 0.24752090871334076, 1.0]",12.199999809265137,160,0,29,0
"[0.40040966868400574, -0.10952352732419968, 0.4154369533061981, -3.109165906906128, -0.05259623005986214, -0.831995964050293, 0.0, 0.0]","[0.29945042729377747, 0.7360937595367432, 0.21248875558376312, 0.3462285101413727, -0.35881784558296204, 0.12685643136501312, 0.0033039450645446777]",1.600000023841858,158,0,133,0
"[0.6644612550735474, 0.4232596158981323, 0.38700899481773376, 2.8151581287384033, -0.6630661487579346, 0.8209105730056763, 0.0, 0.7753304243087769]","[-0.007712928112596273, -0.050848715007305145, -0.02828647941350937, 0.04948533698916435, -0.16522008180618286, -0.0655873715877533, 0.10666126012802124]",1.8666666746139526,177,0,63,0
"[0.40328922867774963, 0.10052875429391861, 0.2533003091812134, 2.799578905105591, -0.10696357488632202, 1.3498001098632812, 0.0, 0.9867841601371765]","[-0.058651428669691086, 0.03839239850640297, -0.07104965299367905, 0.321513295173645, 0.0014675193233415484, -0.015028867870569229, 0.015418529510498047]",1.2666666507720947,117,1,341,0
"[0.5017479658126831, -0.011264252476394176, 0.3136410415172577, 2.865135908126831, 0.3056809604167938, 0.39394688606262207, 0.0, 0.0]","[-0.05703757703304291, 0.04121734946966171, -0.06972811371088028, 0.30585819482803345, -0.00702105276286602, -0.046302177011966705, 0.015418529510498047]",11.466666221618652,180,1,406,0
"[0.4064613878726959, 0.08723720163106918, 0.25263726711273193, 2.8041157722473145, -0.11565688252449036, 1.300629734992981, 0.0, 0.9867841601371765]","[-0.07145843654870987, -0.03016032464802265, -0.064150869846344, 0.3210902512073517, 0.04696958139538765, -0.0013192268088459969, 0.04930126667022705]",2.133333444595337,159,1,373,0
"[0.5075919032096863, -0.008234657347202301, 0.29851093888282776, 2.8184680938720703, 0.25871536135673523, 0.47790631651878357, 0.0, 0.0]","[-0.14615784585475922, -0.21229608356952667, 0.12249238044023514, 0.15579289197921753, 0.5915336608886719, 0.12166688591241837, 1.0]",3.5333333015441895,142,1,390,0
"[0.48012977838516235, -0.20134207606315613, 0.3586525619029999, -2.899778366088867, 0.11850719153881073, -0.9741573929786682, 0.0, 0.25550660490989685]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",3.933333396911621,173,0,474,0
"[0.4694022238254547, -0.23977959156036377, 0.3620558977127075, -3.1355419158935547, -0.09810806810855865, -1.2752348184585571, 0.0, 0.9383260011672974]","[-0.08988741785287857, -0.05064917355775833, 0.00780077837407589, 0.2597489058971405, -0.05171108618378639, -0.015360943041741848, 0.4702643156051636]",0.13333334028720856,138,0,320,0
"[0.4248223602771759, -0.275414377450943, 0.37107500433921814, 3.136331081390381, -0.02320224605500698, -1.4579272270202637, 0.0, 0.9295154213905334]","[0.290103942155838, -0.03702545166015625, -0.11626449972391129, 0.02068747580051422, -0.09172247350215912, -0.29659950733184814, 1.0]",9.666666984558105,140,0,319,0
"[0.6065264344215393, -0.039269961416721344, 0.2365746796131134, 2.8651649951934814, -0.23919427394866943, -0.9983865022659302, 0.0, 0.0]","[0.014598453417420387, -0.003229244379326701, -0.028339533135294914, 0.036020468920469284, -0.032631732523441315, 0.19425052404403687, 0.05396473407745361]",4.266666889190674,191,0,309,0
"[0.48154473304748535, -0.057694677263498306, 0.1917046457529068, 2.913285255432129, 0.09106078743934631, 0.7344233393669128, 0.0, 0.5903083682060242]","[0.48497748374938965, 0.5940913558006287, 0.2791690528392792, 0.8460662961006165, 0.0307846087962389, -0.5321881175041199, 0.0033039450645446777]",15.266666412353516,196,0,258,0
"[0.48608914017677307, -0.20191149413585663, 0.36101335287094116, -2.9765846729278564, 0.023382574319839478, -0.9739969968795776, 0.0, 0.9383260011672974]","[-0.38679489493370056, 0.026419874280691147, 0.2575410008430481, -0.42258164286613464, -0.0846274197101593, 0.2113363891839981, 1.0]",9.0,74,1,15,0
"[0.4766383469104767, -0.034359708428382874, 0.16955900192260742, 3.006406307220459, 0.06814292073249817, 0.9675059914588928, 0.0, 0.9867841601371765]","[0.4321994483470917, 0.5330588221549988, 0.3246098756790161, 0.5492553114891052, -0.6505994200706482, -0.09856199473142624, 0.0033039450645446777]",2.4000000953674316,40,1,368,0
"[0.48688799142837524, -0.2096315324306488, 0.3666169047355652, -3.0488674640655518, -0.040897298604249954, -0.9918690323829651, 0.0, 0.9383260011672974]","[0.2689201831817627, 0.6943432092666626, 0.24652698636054993, 0.31898704171180725, -0.3947707712650299, 0.1718427538871765, 0.0033039450645446777]",4.333333492279053,0,0,389,0
"[0.4812801480293274, -0.19904348254203796, 0.35555601119995117, -2.910820960998535, 0.11949066817760468, -0.9704838395118713, 0.0, 0.4757709205150604]","[0.17511971294879913, 0.511766791343689, 0.31063738465309143, 0.37835901975631714, -0.3981019854545593, 0.2513485550880432, 0.0033039450645446777]",2.7333333492279053,91,0,3,0
"[0.4583738446235657, -0.2440999299287796, 0.36817893385887146, 3.138153553009033, -0.07405826449394226, -1.3053520917892456, 0.0, 0.9383260011672974]","[-0.07017576694488525, 0.022535288706421852, -0.08601012080907822, 0.34048697352409363, -4.0923929191194475e-05, 0.13642513751983643, 0.015418529510498047]",6.599999904632568,154,0,187,0
"[0.39631012082099915, -0.30565622448921204, 0.33939236402511597, 3.063927412033081, -0.007427516859024763, -1.6098374128341675, 0.0, 0.7973568439483643]","[-0.1891353726387024, -0.1360793560743332, -0.09189696609973907, 0.6468229293823242, 0.2995781898498535, 0.223139226436615, 1.0]",15.199999809265137,12,2,476,0
"[0.5051777362823486, 0.007325800135731697, 0.3745969235897064, 3.0123496055603027, -0.23584626615047455, -0.6188112497329712, 0.0, 0.0]","[0.37610042095184326, 0.6792199015617371, 0.3518858253955841, 0.7835583686828613, -0.22493667900562286, -0.43023642897605896, 0.0033039450645446777]",1.5333333015441895,101,0,302,0
"[0.3773219585418701, -0.16405798494815826, 0.40835365653038025, 3.1087145805358887, -0.09351054579019547, -1.1138240098953247, 0.0, 0.0]","[0.3224833607673645, -0.35806718468666077, -0.057289570569992065, 0.024096380919218063, 0.010249014012515545, -0.9996570944786072, 1.0]",5.333333492279053,21,0,132,0
"[0.4055529832839966, -0.08850091695785522, 0.4173961281776428, -3.0864858627319336, -0.044141288846731186, -0.7259183526039124, 0.0, 0.0]","[-0.20202259719371796, -0.23292458057403564, 0.10485103726387024, 0.6715684533119202, 0.5855705142021179, 0.45398572087287903, 0.884361207485199]",0.4000000059604645,219,1,113,0
"[0.6504117250442505, 0.4042992889881134, 0.39706337451934814, 2.7935328483581543, -0.6774734258651733, 0.813079297542572, 0.0, 0.9867841601371765]","[0.4316573739051819, 0.025852106511592865, -0.5195830464363098, -0.6566411256790161, 0.3905799388885498, 0.5547162294387817, 1.0]",7.666666507720947,109,0,407,0
"[0.36736252903938293, -0.17795225977897644, 0.401128351688385, 3.1037485599517822, -0.09607886523008347, -1.1972558498382568, 0.0, 0.0]","[0.21822795271873474, -0.25466328859329224, -0.20095877349376678, 0.14006145298480988, 0.13319800794124603, -0.2261742800474167, 1.0]",5.933333396911621,64,0,8,0
"[0.5971550345420837, -0.0147698437795043, 0.26065197587013245, 2.8927581310272217, -0.31098121404647827, -0.9634107351303101, 0.0, 0.0]","[0.352000892162323, 0.010598072782158852, -0.1605895310640335, 0.0381377749145031, -0.12787581980228424, -0.28644251823425293, 1.0]",14.600000381469727,35,2,401,0
"[0.6156677603721619, 0.08615417778491974, 0.4535937011241913, 2.994917869567871, -0.424032062292099, 0.2265135943889618, 0.0, 0.0]","[-0.12521354854106903, -0.1654665470123291, 0.12484631687402725, 0.0658409595489502, 0.453352153301239, 0.06259027123451233, 1.0]",0.7333333492279053,205,1,283,0
"[0.51036137342453, 0.2179904580116272, 0.42238563299179077, 2.4315147399902344, -0.4542022943496704, 1.4168390035629272, 0.0, 0.9867841601371765]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",6.066666603088379,22,1,408,0
"[0.6568268537521362, 0.4204648435115814, 0.4014185965061188, 2.765211582183838, -0.6828187704086304, 0.8297468423843384, 0.0, 0.9867841601371765]","[0.3119197487831116, -0.030929043889045715, -0.12966394424438477, -0.004435617011040449, -0.14147000014781952, -0.2971039116382599, 1.0]",12.133333206176758,4,1,455,0
"[0.3929275870323181, -0.014883439987897873, 0.5319972634315491, 3.124070882797241, -0.028505882248282433, 0.059169039130210876, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",8.266666412353516,41,0,472,0
"[0.5405471324920654, -0.011446315795183182, 0.33846578001976013, 2.9408152103424072, -0.30134063959121704, -0.8202139735221863, 0.0, 0.0]","[-0.03865224868059158, -0.09028550982475281, -0.07498583942651749, -0.02275712788105011, -0.10539194941520691, 0.36323314905166626, 0.6618942618370056]",2.200000047683716,8,1,33,0
"[0.4871588945388794, -0.20300477743148804, 0.36300501227378845, -2.9882404804229736, 0.01030313316732645, -1.0044862031936646, 0.0, 0.9383260011672974]","[0.4917358458042145, 0.031400006264448166, -0.557783842086792, -0.5972120761871338, 0.4952603578567505, 0.4857024848461151, 1.0]",4.800000190734863,2,1,490,0
"[0.3954596221446991, -0.29955369234085083, 0.338338702917099, 3.0230348110198975, -0.011915434151887894, -1.5753828287124634, 0.0, 0.4669603705406189]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013215839862823486]",13.0,164,1,221,0
"[0.4361859858036041, 0.029639316722750664, 0.22645677626132965, 2.902742624282837, -0.03599594533443451, 1.1156044006347656, 0.0, 0.9867841601371765]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013215839862823486]",7.0,32,1,73,0
"[0.39303693175315857, 0.01988370344042778, 0.42526936531066895, -3.0562145709991455, 0.008068988099694252, -0.23421747982501984, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,157,0,85,0
"[0.4810187816619873, -0.19965876638889313, 0.3563345670700073, -2.9061622619628906, 0.12011735886335373, -0.9723287224769592, 0.0, 0.40528634190559387]","[0.10644305497407913, -0.02351532131433487, -0.11326652020215988, -0.1195947527885437, -0.1515459567308426, 0.30536291003227234, 0.1503685712814331]",9.266666412353516,75,0,111,0
"[0.3669838607311249, -0.1782119870185852, 0.4007532298564911, 3.102788209915161, -0.09546040743589401, -1.196764588356018, 0.0, 0.0]","[0.19967876374721527, -0.2830977737903595, -0.19850431382656097, 0.14584894478321075, 0.152483269572258, -0.2514937222003937, 1.0]",12.0,181,0,94,0
"[0.4580681324005127, -0.24331426620483398, 0.3717047870159149, -3.1375248432159424, -0.07197237759828568, -1.3104937076568604, 0.0, 0.9383260011672974]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2.866666555404663,71,0,376,0
"[0.47704413533210754, 0.009882083162665367, 0.3904138207435608, 3.05115008354187, -0.1836831271648407, -0.4766107499599457, 0.0, 0.0]","[0.02901647798717022, -0.05332878977060318, -0.06778652966022491, 0.06669794768095016, -0.14566078782081604, -0.18398825824260712, 0.3711453676223755]",10.733333587646484,130,2,446,0
"[0.662483811378479, 0.4111696481704712, 0.38267695903778076, 3.0518946647644043, -0.6724454164505005, 0.7338211536407471, 0.0, 0.3480176329612732]","[-0.21545909345149994, -0.2555762827396393, -0.10482650250196457, -0.2243591845035553, 0.13724631071090698, -0.860093891620636, 1.0]",0.2666666805744171,37,0,124,0
"[0.4946756362915039, -0.05447999760508537, 0.17087052762508392, 2.905277967453003, 0.09552684426307678, 0.8735554814338684, 0.0, 0.6035242676734924]","[0.009134656749665737, 0.003586709965020418, -0.05870325118303299, -0.08709299564361572, -0.0612633116543293, 0.44786474108695984, 0.5033038854598999]",9.733333587646484,132,0,461,0
"[0.5349341034889221, 0.23030321300029755, 0.38582175970077515, 2.453312397003174, -0.41387489438056946, 1.456905484199524, 0.0, 0.9867841601371765]","[0.3331504166126251, -0.3167969882488251, -0.08915846049785614, 0.043903648853302, 0.06605878472328186, -0.9968494176864624, 1.0]",2.7333333492279053,43,2,159,0
"[0.5000168681144714, -0.013008520007133484, 0.25189408659935, 2.857231378555298, 0.17604242265224457, 0.553572416305542, 0.0, 0.0]","[-0.3164760172367096, 0.1491699516773224, 0.4330418109893799, 0.24265608191490173, -0.07690352946519852, 0.18337136507034302, 0.0033039450645446777]",5.400000095367432,24,0,279,0
"[0.505527138710022, -0.008497870527207851, 0.2763119637966156, 2.8321175575256348, 0.219557985663414, 0.5221762657165527, 0.0, 0.0]","[0.19427351653575897, 0.5609229207038879, 0.32258152961730957, 0.3156144917011261, -0.39339977502822876, 0.22939279675483704, 0.0033039450645446777]",7.133333206176758,95,1,303,0
"[0.4144043028354645, -0.22177515923976898, 0.4709182679653168, -3.0617690086364746, -0.12180767208337784, -0.7393934726715088, 0.0, 0.0]","[-0.1934371143579483, -0.10203510522842407, 0.0336994007229805, 0.3768409490585327, 0.20348653197288513, 0.2810719311237335, 1.0]",10.733333587646484,153,0,225,0
"[0.48157647252082825, -0.19712519645690918, 0.35384052991867065, -2.9320180416107178, 0.11267919093370438, -0.9588563442230225, 0.0, 0.7797356843948364]","[0.48997730016708374, -0.01664385013282299, -0.235113725066185, -0.34162983298301697, 0.3740842938423157, 0.0861934944987297, 1.0]",4.199999809265137,84,1,115,0
"[0.6523308753967285, 0.18312983214855194, 0.4344046115875244, 3.0178163051605225, -0.31880703568458557, 0.45768046379089355, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.46666666865348816,113,2,332,0
"[0.46361613273620605, -0.21424216032028198, 0.39175915718078613, -2.921877384185791, 0.09466537088155746, -0.9816710948944092, 0.0, 0.0]","[-0.3767978250980377, 0.062605120241642, 0.1835835576057434, -0.32204586267471313, -0.14566190540790558, 0.6653729677200317, 1.0]",10.399999618530273,49,0,459,0
"[0.46158748865127563, 0.18058663606643677, 0.3396682143211365, 2.5971012115478516, -0.3197120428085327, 1.3903472423553467, 0.0, 0.9867841601371765]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",7.0,160,0,156,0
"[0.6470726132392883, 0.16251668334007263, 0.44165799021720886, 3.0047409534454346, -0.34301525354385376, 0.4125392436981201, 0.0, 0.0]","[-0.11584059149026871, -0.1283591389656067, -0.47862038016319275, 0.22305820882320404, -0.2709817588329315, 0.43887796998023987, 1.0]",0.6666666865348816,69,1,228,0
