episode_id,source_path,outcome,num_frames,num_track_points,external_cameras,wrist_camera,cameras_with_2d_tracks,cam2base_calibration,fx,fy,cx,cy,width,height,k1,k2,p1,p2,k3
,,,,960.0,"['24400334', '22008760']",,"['24400334', '22008760', '18026681']",,531.8776245117188,531.7877197265625,640.0441284179688,,1280.0,,,0.0,0.0,0.0,0.0
,,,,,,,,"{'AUTOLab+5d05c5aa+2023-07-07-18h-40m-42s': {'relative_path': 'AUTOLab/failure/2023-07-07/Fri_Jul__7_18:40:42_2023', '24400334': [0.30003995443526366, -0.4658078662612428, 0.3150260527908532, -1.8838427680005083, 0.07737475858958254, -0.7168887900569086], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.684793428263079, '24400334_source': 'GT', '22008760': [0.42155542255650963, 0.4283417332661078, 0.34060748682701825, -2.0115951547787603, -0.10234365161883052, -2.3089979996777203], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.9217863800420418, '22008760_source': 'GT'}}",,732.2020874023438,636.1526489257812,365.7880554199219,,720.0,0.0,,0.0,0.0,0.0
,AUTOLab/failure/2023-07-14/Fri_Jul_14_17:00:11_2023,failure,175.0,960.0,,,,,524.4526977539062,732.2020874023438,640.0441284179688,,1280.0,,,0.0,,,0.0
,AUTOLab/failure/2023-07-21/Fri_Jul_21_13:07:39_2023,failure,478.0,,,,,,524.3514404296875,,640.0441284179688,370.27752685546875,1280.0,720.0,,,0.0,0.0,0.0
,,failure,,,,,,,,,636.1511840820312,,1280.0,720.0,0.0,,,0.0,
,,,119.0,,"['22008760', '24400334']",,,,732.2020874023438,732.2020874023438,639.77880859375,344.0088195800781,1280.0,,0.0,,0.0,0.0,
,,,,,"['24400334', '22008760']",,"['24400334', '22008760', '18026681']",,524.3674926757812,,640.0441284179688,370.27783203125,1280.0,720.0,0.0,,0.0,0.0,0.0
,AUTOLab/failure/2023-07-21/Fri_Jul_21_12:57:38_2023,failure,,,,,,"{'AUTOLab+5d05c5aa+2023-07-13-11h-31m-03s': {'relative_path': 'AUTOLab/failure/2023-07-13/Thu_Jul_13_11:31:03_2023', '24400334': [0.28168829212273516, -0.48982425827139536, 0.29958134735889164, -1.9260917296512057, -0.01594116473449625, -0.7112080063957732], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.8315391994153204, '24400334_source': 'GT', '22008760': [0.4469095641130539, 0.4329151945348587, 0.4049502812203877, -1.9920164591077247, 0.05988320728808638, -2.721137041801416], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.8012196635288695, '22008760_source': 'GT'}}",531.790283203125,524.3390502929688,640.0441284179688,365.7880554199219,1280.0,720.0,0.0,0.0,0.0,0.0,
,,,,,,,,"{'AUTOLab+84bd5053+2023-07-21-12h-57m-54s': {'relative_path': 'AUTOLab/failure/2023-07-21/Fri_Jul_21_12:57:54_2023', '22008760': [0.25542015020200937, 0.8138909353166303, 0.39844534295161027, -1.7535007872739103, 0.02562944898111974, -2.617874160159564], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.8670133512518624, '22008760_source': 'GT', '24400334': [0.08798181093123866, -0.37461042289306234, 0.3084912017291619, -1.8763879167957556, -0.13496446803276374, -0.8185348697966429], '24400334_metric_type': 'num_matches', '24400334_quality_metric': 35585.0, '24400334_source': 'Pred'}}",,,640.0441284179688,,1280.0,720.0,0.0,0.0,,,
AUTOLab+84bd5053+2023-07-21-12h-57m-54s,,,95.0,960.0,,,,,531.8255615234375,531.9699096679688,636.15087890625,,,720.0,,0.0,0.0,0.0,
,AUTOLab/failure/2023-07-21/Fri_Jul_21_14:43:24_2023,,,,,,"['24400334', '22008760', '18026681']","{'AUTOLab+84bd5053+2023-07-14-16h-53m-39s': {'relative_path': 'AUTOLab/failure/2023-07-14/Fri_Jul_14_16:53:39_2023', '24400334': [0.3031079935887764, -0.45131159576841506, 0.31521804528985303, -1.8887856213791974, 0.12518282678204606, -0.19364109226439705], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.8995339009384128, '24400334_source': 'GT', '22008760': [0.16894433393656574, 0.5822615314563266, 0.4001070463815546, -2.0518257494067096, -0.1170849647929062, -2.6137844612389944], '22008760_metric_type': 'num_matches', '22008760_quality_metric': 50426.0, '22008760_source': 'Pred'}}",531.8335571289062,732.2020874023438,640.0441284179688,370.277587890625,1280.0,720.0,0.0,,0.0,0.0,
,,,,,,18026681,,,,524.469970703125,,365.7880554199219,1280.0,720.0,,0.0,0.0,,0.0
AUTOLab+5d05c5aa+2023-07-13-11h-27m-07s,,,,,,,"['24400334', '22008760', '18026681']",,524.3749389648438,531.9974365234375,636.1527099609375,,1280.0,,0.0,,0.0,,0.0
AUTOLab+5d05c5aa+2023-07-07-16h-11m-43s,,failure,613.0,,"['22008760', '24400334']",,,,524.3278198242188,524.4942016601562,,370.2779235839844,1280.0,720.0,,,0.0,0.0,
,,,,,,,,,,531.8023681640625,639.7740478515625,,1280.0,720.0,0.0,0.0,0.0,0.0,0.0
,,,170.0,,,18026681,,"{'AUTOLab+5d05c5aa+2023-07-23-21h-33m-22s': {'relative_path': 'AUTOLab/failure/2023-07-23/Sun_Jul_23_21:33:22_2023', '24400334': [0.09217052007980975, -0.3978484491408021, 0.3461051084316109, -2.019682191248893, 0.06498338417853766, -0.7268891849000068], '24400334_metric_type': 'Reprojection_error', '24400334_quality_metric': 10.220315933227539, '24400334_source': 'Pred', '22008760': [0.34378226801201683, 0.6077176892644542, 0.38300961271615525, -2.0299008017966393, -0.023509821375950368, -2.755831998044179], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.6110301365708172, '22008760_source': 'GT'}}",732.2020874023438,531.871337890625,,344.0085754394531,1280.0,,0.0,0.0,,0.0,0.0
,,,,,"['24400334', '22008760']",,"['22008760', '24400334', '18026681']",,531.8638305664062,531.9303588867188,636.1520385742188,365.7880554199219,1280.0,720.0,,0.0,0.0,0.0,0.0
,,,,,,,,,,524.3590087890625,639.7763061523438,365.7880554199219,1280.0,720.0,,,,0.0,
AUTOLab+84bd5053+2023-07-08-09h-47m-56s,,,1031.0,,,,,,524.4473266601562,531.8028564453125,636.152099609375,,1280.0,720.0,,0.0,0.0,0.0,0.0
AUTOLab+84bd5053+2023-07-14-16h-47m-37s,AUTOLab/failure/2023-07-21/Fri_Jul_21_12:44:49_2023,,,,"['24400334', '22008760']",,"['24400334', '22008760', '18026681']",,,524.3557739257812,639.7791748046875,370.2777099609375,1280.0,720.0,0.0,0.0,0.0,0.0,0.0
,,failure,112.0,960.0,,,,,732.2020874023438,531.8497314453125,636.1517333984375,370.2782897949219,1280.0,720.0,0.0,,0.0,,0.0
,,,,,,18026681,"['22008760', '24400334', '18026681']",,,,636.1524658203125,370.27691650390625,1280.0,720.0,0.0,0.0,0.0,,0.0
,,,,,,,,"{'AUTOLab+84bd5053+2023-07-21-13h-13m-00s': {'relative_path': 'AUTOLab/failure/2023-07-21/Fri_Jul_21_13:13:00_2023', '22008760': [0.25542015020200937, 0.8138909353166303, 0.39844534295161027, -1.7535007872739103, 0.02562944898111974, -2.617874160159564], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.8781408413614519, '22008760_source': 'GT', '24400334': [0.09159656509433016, -0.3575427983675294, 0.3207254913087088, -1.9051212474452783, -0.13804665394102078, -0.8444511652381741], '24400334_metric_type': 'num_matches', '24400334_quality_metric': 29079.0, '24400334_source': 'Pred'}}",531.7634887695312,,,344.0086669921875,,720.0,0.0,0.0,0.0,0.0,0.0
AUTOLab+5d05c5aa+2023-07-13-11h-31m-03s,,,175.0,,,,,,531.74609375,531.89453125,,344.00848388671875,1280.0,720.0,0.0,0.0,,0.0,0.0
AUTOLab+84bd5053+2023-07-21-15h-49m-36s,,,,,,,"['24400334', '22008760', '18026681']","{'AUTOLab+5d05c5aa+2023-07-23-20h-52m-15s': {'relative_path': 'AUTOLab/failure/2023-07-23/Sun_Jul_23_20:52:15_2023', '22008760': [0.34378226801201683, 0.6077176892644542, 0.38300961271615525, -2.0299008017966393, -0.023509821375950368, -2.755831998044179], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.6002794352722969, '22008760_source': 'GT', '24400334': [0.17850923851543837, -0.2273772312518754, 0.3221637099675958, -1.9632428039387226, -0.07127306636745168, -0.769888676024699], '24400334_metric_type': 'num_matches', '24400334_quality_metric': 41616.0, '24400334_source': 'Pred'}}",524.3305053710938,524.3803100585938,636.15185546875,344.00872802734375,1280.0,,,,0.0,0.0,0.0
,,,,,"['22008760', '24400334']",,"['24400334', '22008760', '18026681']",,732.2020874023438,531.8212890625,640.0441284179688,370.27874755859375,1280.0,720.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,"{'AUTOLab+84bd5053+2023-07-21-12h-14m-36s': {'relative_path': 'AUTOLab/failure/2023-07-21/Fri_Jul_21_12:14:36_2023', '24400334': [0.13571399730802516, -0.5260054242697205, 0.2991680466882737, -1.9129159808305245, -0.07570182865119501, -0.729133410079116], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.7188920280063874, '24400334_source': 'GT', '22008760': [0.25542015020200937, 0.8138909353166303, 0.39844534295161027, -1.7535007872739103, 0.02562944898111974, -2.617874160159564], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.8561794271236797, '22008760_source': 'GT'}}",,524.3514404296875,640.0441284179688,344.008544921875,1280.0,720.0,0.0,0.0,0.0,0.0,0.0
AUTOLab+84bd5053+2023-07-14-16h-01m-40s,,,,,,,,,531.820068359375,732.2020874023438,,365.7880554199219,1280.0,720.0,0.0,0.0,0.0,,0.0
,AUTOLab/failure/2023-07-14/Fri_Jul_14_15:14:11_2023,,,,"['24400334', '22008760']",,,"{'AUTOLab+5d05c5aa+2023-07-13-10h-58m-28s': {'relative_path': 'AUTOLab/failure/2023-07-13/Thu_Jul_13_10:58:28_2023', '24400334': [0.28168829212273516, -0.48982425827139536, 0.29958134735889164, -1.9260917296512057, -0.01594116473449625, -0.7112080063957732], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.6305812566491505, '24400334_source': 'GT', '22008760': [0.4469095641130539, 0.4329151945348587, 0.4049502812203877, -1.9920164591077247, 0.05988320728808638, -2.721137041801416], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.8512918848489318, '22008760_source': 'GT'}}",524.4066162109375,524.5068359375,639.7775268554688,,,720.0,0.0,0.0,0.0,,0.0
,,,,960.0,,,,,531.8195190429688,531.7340087890625,640.0441284179688,,1280.0,,0.0,0.0,0.0,0.0,0.0
AUTOLab+5d05c5aa+2023-07-13-11h-23m-16s,,,,,,,,"{'AUTOLab+84bd5053+2023-07-14-16h-41m-54s': {'relative_path': 'AUTOLab/failure/2023-07-14/Fri_Jul_14_16:41:54_2023', '24400334': [0.3031079935887764, -0.45131159576841506, 0.31521804528985303, -1.8887856213791974, 0.12518282678204606, -0.19364109226439705], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.89174350905844, '24400334_source': 'GT', '22008760': [0.16936966361355835, 0.6031901216531109, 0.39725208170552245, -2.045798296742523, -0.12129321608282773, -2.627058025913279], '22008760_metric_type': 'num_matches', '22008760_quality_metric': 61891.0, '22008760_source': 'Pred'}}",,524.3784790039062,636.1505126953125,344.0086669921875,1280.0,720.0,0.0,0.0,0.0,0.0,
,,,93.0,,,,"['24400334', '22008760', '18026681']",,524.4508056640625,732.2020874023438,639.7747802734375,370.2774353027344,1280.0,,0.0,0.0,0.0,0.0,0.0
,AUTOLab/failure/2023-07-14/Fri_Jul_14_16:52:02_2023,,,,,18026681,,,732.2020874023438,732.2020874023438,636.1513671875,370.2779541015625,1280.0,720.0,,0.0,0.0,0.0,
AUTOLab+5d05c5aa+2023-07-07-16h-27m-21s,,,,960.0,,,,,732.2020874023438,524.412841796875,640.0441284179688,370.2779541015625,1280.0,,,0.0,,0.0,
AUTOLab+84bd5053+2023-07-14-16h-57m-29s,AUTOLab/failure/2023-07-07/Fri_Jul__7_18:40:42_2023,,,,,,"['22008760', '24400334', '18026681']","{'AUTOLab+84bd5053+2023-07-21-12h-58m-33s': {'relative_path': 'AUTOLab/failure/2023-07-21/Fri_Jul_21_12:58:33_2023', '22008760': [0.25542015020200937, 0.8138909353166303, 0.39844534295161027, -1.7535007872739103, 0.02562944898111974, -2.617874160159564], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.8886867784767734, '22008760_source': 'GT', '24400334': [0.08862568501356241, -0.3494774069133261, 0.31383160613509964, -1.892910154913529, -0.13431974123454493, -0.8431551377074143], '24400334_metric_type': 'num_matches', '24400334_quality_metric': 32835.0, '24400334_source': 'Pred'}}",524.3265991210938,,636.1522216796875,370.2777404785156,1280.0,720.0,0.0,,0.0,0.0,0.0
AUTOLab+5d05c5aa+2023-07-07-18h-43m-03s,,,,,,,,"{'AUTOLab+84bd5053+2023-07-14-17h-21m-43s': {'relative_path': 'AUTOLab/failure/2023-07-14/Fri_Jul_14_17:21:43_2023', '24400334': [0.3031079935887764, -0.45131159576841506, 0.31521804528985303, -1.8887856213791974, 0.12518282678204606, -0.19364109226439705], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.848850156443416, '24400334_source': 'GT', '22008760': [0.1660159784137702, 0.5610376985155454, 0.412386697774466, -2.0756959948999336, -0.10732544175419645, -2.5998491290550256], '22008760_metric_type': 'num_matches', '22008760_quality_metric': 42167.0, '22008760_source': 'Pred'}}",,524.4102172851562,,344.00860595703125,1280.0,720.0,0.0,0.0,0.0,0.0,0.0
AUTOLab+5d05c5aa+2023-07-13-11h-13m-10s,,,,960.0,"['24400334', '22008760']",18026681,,,531.7564086914062,732.2020874023438,,370.27789306640625,1280.0,,0.0,0.0,0.0,0.0,
,,,163.0,,"['24400334', '22008760']",,"['24400334', '22008760', '18026681']",,,732.2020874023438,636.15234375,370.27838134765625,1280.0,720.0,0.0,0.0,,0.0,0.0
,,failure,,,,,,,,524.3540649414062,640.0441284179688,365.7880554199219,1280.0,720.0,0.0,0.0,0.0,0.0,0.0
,,,76.0,,"['24400334', '22008760']",,,,531.83837890625,732.2020874023438,636.15234375,365.7880554199219,1280.0,720.0,0.0,,0.0,0.0,0.0
,,,71.0,,,,,,524.385009765625,524.4097290039062,636.1521606445312,365.7880554199219,1280.0,,0.0,0.0,,0.0,0.0
,AUTOLab/failure/2023-07-08/Sat_Jul__8_11:42:17_2023,,,,"['22008760', '24400334']",,,"{'AUTOLab+84bd5053+2023-07-14-17h-28m-24s': {'relative_path': 'AUTOLab/failure/2023-07-14/Fri_Jul_14_17:28:24_2023', '24400334': [0.3031079935887764, -0.45131159576841506, 0.31521804528985303, -1.8887856213791974, 0.12518282678204606, -0.19364109226439705], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.9061419667415277, '24400334_source': 'GT', '22008760': [0.17405863558081439, 0.5767252301329417, 0.41102571183023945, -2.070755017357145, -0.11202794043055286, -2.6163915801724715], '22008760_metric_type': 'num_matches', '22008760_quality_metric': 45920.0, '22008760_source': 'Pred'}}",732.2020874023438,732.2020874023438,639.7760009765625,365.7880554199219,,,0.0,,0.0,0.0,0.0
,,,,,,,,,,732.2020874023438,640.0441284179688,,1280.0,720.0,,,0.0,0.0,
,,,165.0,,,18026681,"['24400334', '22008760', '18026681']",,531.9081420898438,,636.1525268554688,365.7880554199219,1280.0,720.0,,0.0,0.0,0.0,0.0
,,,,960.0,,,,,,732.2020874023438,639.777587890625,344.00909423828125,,720.0,0.0,0.0,0.0,,0.0
,,,,,"['24400334', '22008760']",,,"{'AUTOLab+84bd5053+2023-07-21-12h-37m-16s': {'relative_path': 'AUTOLab/failure/2023-07-21/Fri_Jul_21_12:37:16_2023', '24400334': [0.13571399730802516, -0.5260054242697205, 0.2991680466882737, -1.9129159808305245, -0.07570182865119501, -0.729133410079116], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.6492747784045125, '24400334_source': 'GT', '22008760': [0.25542015020200937, 0.8138909353166303, 0.39844534295161027, -1.7535007872739103, 0.02562944898111974, -2.617874160159564], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.875485054265446, '22008760_source': 'GT'}}",531.843994140625,,639.7758178710938,365.7880554199219,,720.0,0.0,0.0,0.0,0.0,0.0
AUTOLab+84bd5053+2023-07-21-12h-24m-18s,,,,,,,,"{'AUTOLab+5d05c5aa+2023-07-07-18h-59m-42s': {'relative_path': 'AUTOLab/failure/2023-07-07/Fri_Jul__7_18:59:42_2023', '24400334': [0.3543383290387372, -0.48539109490663446, 0.25882850826018133, -1.7786013301638655, 0.07299281322770179, -0.5207178547114876], '24400334_metric_type': 'Reprojection_error', '24400334_quality_metric': 18.991409301757812, '24400334_source': 'Pred', '22008760': [0.42155542255650963, 0.4283417332661078, 0.34060748682701825, -2.0115951547787603, -0.10234365161883052, -2.3089979996777203], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.8707840476963941, '22008760_source': 'GT'}}",,531.77880859375,639.7759399414062,365.7880554199219,1280.0,720.0,0.0,0.0,0.0,0.0,0.0
,AUTOLab/failure/2023-07-07/Fri_Jul__7_18:51:08_2023,,145.0,960.0,,18026681,,"{'AUTOLab+84bd5053+2023-07-21-14h-42m-01s': {'relative_path': 'AUTOLab/failure/2023-07-21/Fri_Jul_21_14:42:01_2023', '22008760': [0.2544810106537049, 0.81710616305262, 0.39850798124203, -1.771547130906803, 0.022984560108673557, -2.6101066832711513], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.91882553220179, '22008760_source': 'GT', '24400334': [0.09527006905317902, -0.30607534223777405, 0.3088472627156236, -1.9095172942313956, -0.12783491336937125, -0.8519772213498061], '24400334_metric_type': 'num_matches', '24400334_quality_metric': 25740.0, '24400334_source': 'Pred'}}",524.4172973632812,524.366943359375,636.1516723632812,344.00897216796875,1280.0,,0.0,,0.0,0.0,
AUTOLab+84bd5053+2023-07-14-16h-57m-00s,,failure,126.0,,,18026681,,,524.3651733398438,,636.1524658203125,344.00860595703125,1280.0,720.0,0.0,0.0,0.0,0.0,0.0
,,,,960.0,,18026681,"['24400334', '22008760', '18026681']",,,,639.7769165039062,,1280.0,720.0,0.0,,,,0.0
,,,,960.0,"['24400334', '22008760']",,,,531.7861938476562,524.3543701171875,639.7764892578125,365.7880554199219,1280.0,,0.0,0.0,,0.0,0.0
,,,96.0,,,,,,531.8073120117188,,,365.7880554199219,1280.0,720.0,0.0,,0.0,,0.0
AUTOLab+5d05c5aa+2023-07-13-11h-33m-14s,,failure,,,,,,"{'AUTOLab+5d05c5aa+2023-07-26-17h-05m-24s': {'relative_path': 'AUTOLab/failure/2023-07-26/Wed_Jul_26_17:05:24_2023', '24400334': [0.22496777546106378, -0.46252874908001973, 0.34986507477851264, -1.919259985032204, 0.0026313439193381694, -0.8400293181105547], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.824597606273215, '24400334_source': 'GT', '22008760': [0.3466221963851771, 0.5721798354453999, 0.38273747009892917, -2.0399492550211185, -0.019194463011699803, -2.81868606940933], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.8557980830232678, '22008760_source': 'GT'}}",524.357177734375,524.3864135742188,,344.0089111328125,1280.0,,,,0.0,0.0,0.0
,AUTOLab/failure/2023-07-21/Fri_Jul_21_12:56:19_2023,,158.0,,,18026681,,,,524.4066162109375,,365.7880554199219,1280.0,720.0,,0.0,0.0,,0.0
,AUTOLab/failure/2023-07-14/Fri_Jul_14_17:15:41_2023,,,960.0,,,,,524.5068359375,732.2020874023438,636.1524658203125,,1280.0,,0.0,0.0,0.0,0.0,0.0
,,,661.0,,,,,,,732.2020874023438,639.77783203125,344.0084228515625,1280.0,720.0,,0.0,0.0,0.0,0.0
AUTOLab+84bd5053+2023-07-21-13h-00m-19s,,failure,450.0,960.0,"['24400334', '22008760']",18026681,,,732.2020874023438,531.8073120117188,636.15185546875,365.7880554199219,1280.0,720.0,0.0,0.0,0.0,,0.0
,,,70.0,960.0,,,"['22008760', '24400334', '18026681']",,531.7538452148438,531.7564086914062,,370.2777404785156,,720.0,0.0,0.0,0.0,0.0,0.0
,,,,,"['24400334', '22008760']",,"['22008760', '24400334', '18026681']","{'AUTOLab+84bd5053+2023-07-08-10h-51m-31s': {'relative_path': 'AUTOLab/failure/2023-07-08/Sat_Jul__8_10:51:31_2023', '24400334': [0.21206639996841176, -0.36364734909628016, 0.30867877575861336, -1.9169761827438507, 0.047165430252313456, -0.5714938002626585], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.6024538164839627, '24400334_source': 'GT', '22008760': [0.383443084407403, 0.5515700193649918, 0.3409198369437651, -1.995187698150888, -0.13082567414758572, -2.244403137439821], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.8724516188935019, '22008760_source': 'GT'}}",531.8634643554688,732.2020874023438,640.0441284179688,344.0086364746094,1280.0,720.0,,0.0,0.0,0.0,
AUTOLab+5d05c5aa+2023-07-13-11h-07m-13s,,,87.0,960.0,"['24400334', '22008760']",18026681,,,732.2020874023438,732.2020874023438,639.77685546875,365.7880554199219,,,0.0,0.0,0.0,0.0,
,,,,960.0,,,,,732.2020874023438,,639.7767944335938,370.27777099609375,1280.0,,0.0,0.0,0.0,0.0,
AUTOLab+84bd5053+2023-07-14-16h-48m-57s,AUTOLab/failure/2023-07-21/Fri_Jul_21_12:39:43_2023,,,960.0,,,,"{'AUTOLab+84bd5053+2023-07-14-16h-01m-40s': {'relative_path': 'AUTOLab/failure/2023-07-14/Fri_Jul_14_16:01:40_2023', '24400334': [0.3031079935887764, -0.45131159576841506, 0.31521804528985303, -1.8887856213791974, 0.12518282678204606, -0.19364109226439705], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.8788241792614184, '24400334_source': 'GT', '22008760': [0.6299037410969826, 1.0997572315135926, 0.41468923799096347, -1.7757563666810612, -0.1083319614475231, -2.996534765097081], '22008760_metric_type': 'Reprojection_error', '22008760_quality_metric': 8.562906265258789, '22008760_source': 'Pred'}}",531.9014282226562,531.8255615234375,,,,720.0,0.0,,,0.0,0.0
AUTOLab+5d05c5aa+2023-07-23-21h-26m-44s,AUTOLab/failure/2023-07-26/Wed_Jul_26_16:42:23_2023,failure,,,,18026681,,"{'AUTOLab+5d05c5aa+2023-07-13-11h-21m-39s': {'relative_path': 'AUTOLab/failure/2023-07-13/Thu_Jul_13_11:21:39_2023', '24400334': [0.28168829212273516, -0.48982425827139536, 0.29958134735889164, -1.9260917296512057, -0.01594116473449625, -0.7112080063957732], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.8021141369113298, '24400334_source': 'GT', '22008760': [0.4469095641130539, 0.4329151945348587, 0.4049502812203877, -1.9920164591077247, 0.05988320728808638, -2.721137041801416], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.8582794629537543, '22008760_source': 'GT'}}",531.8668212890625,732.2020874023438,636.1522827148438,365.7880554199219,,720.0,0.0,0.0,0.0,,0.0
,,,,,,,"['24400334', '22008760', '18026681']",,531.8524780273438,732.2020874023438,,370.27783203125,1280.0,720.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,732.2020874023438,,636.1522827148438,344.00872802734375,,720.0,0.0,0.0,0.0,,0.0
,,failure,,,,,,,531.8886108398438,732.2020874023438,640.0441284179688,370.2781982421875,1280.0,720.0,0.0,,0.0,,0.0
,,,,,,,,,,531.8558349609375,636.151611328125,344.0088806152344,1280.0,720.0,0.0,0.0,0.0,,
AUTOLab+84bd5053+2023-07-14-17h-21m-43s,,,,,"['24400334', '22008760']",,,,,531.857666015625,639.7767333984375,370.27783203125,1280.0,,,0.0,0.0,0.0,0.0
